Timestamp,HeadingPhase,Heading,HeadPing?,TimerPhase,TimerPing?
1596055623.5401013,124.89217643915626,124.89217643915626,0,0,0
1596055623.5501502,126.69929866968604,124.89217643915626,0,1.8071222305297852,0
1596055623.560142,128.49783783136817,124.89217643915626,0,3.605661392211914,0
1596055623.5701396,130.29740696131202,124.89217643915626,0,5.405230522155762,0
1596055623.5801435,132.09809189020606,124.89217643915626,0,7.205915451049805,0
1596055623.5901475,133.89881973444434,124.89217643915626,0,9.006643295288086,0
1596055623.600148,135.69890384851905,124.89217643915626,0,10.806727409362793,0
1596055623.6101327,137.49615554987403,124.89217643915626,0,12.603979110717773,0
1596055623.620131,139.2958534258506,124.89217643915626,0,14.403676986694336,0
1596055623.630129,141.09550838648292,124.89217643915626,0,16.20333194732666,0
1596055623.6401148,142.89293174921485,124.89217643915626,0,18.000755310058594,0
1596055623.6501176,144.69344501673194,124.89217643915626,0,19.801268577575684,0
1596055623.6601243,146.49464492975684,124.89217643915626,0,21.602468490600586,0
1596055623.6701272,148.29515819727393,124.89217643915626,0,23.402981758117676,0
1596055623.6801171,150.09335403620216,124.89217643915626,0,25.2011775970459,0
1596055623.6901243,151.89463977991554,124.89217643915626,0,27.002463340759277,0
1596055623.7001226,153.6943376558921,124.89217643915626,0,28.80216121673584,0
1596055623.7101202,155.49390678583595,124.89217643915626,0,30.601730346679688,0
1596055623.7201185,157.2936046618125,124.89217643915626,0,32.40142822265625,0
1596055623.730121,159.09403209864112,124.89217643915626,0,34.20185565948486,0
1596055623.7401216,160.89415912806007,124.89217643915626,0,36.00198268890381,0
1596055623.7501183,162.69355659662696,124.89217643915626,0,37.8013801574707,0
1596055623.760124,164.4945848482749,124.89217643915626,0,39.60240840911865,0
1596055623.7701287,166.2954414385459,124.89217643915626,0,41.40326499938965,0
1596055623.7801144,168.09286480127784,124.89217643915626,0,43.20068836212158,0
1596055623.7901258,169.8949230211875,124.89217643915626,0,45.00274658203125,0
1596055623.800128,171.69530754267188,124.89217643915626,0,46.803131103515625,0
1596055623.810113,173.4926021593711,124.89217643915626,0,48.600425720214844,0
1596055623.8201194,175.29375915705177,124.89217643915626,0,50.40158271789551,0
1596055623.830127,177.09513073145362,124.89217643915626,0,52.20295429229736,0
1596055623.840117,178.89332657038184,124.89217643915626,0,54.001150131225586,0
1596055623.8501248,180.69474106012794,124.89217643915626,0,55.80256462097168,0
1596055623.8601236,182.49452476679298,124.89217643915626,0,57.60234832763672,0
1596055623.870127,184.29512386499854,124.89217643915626,0,59.402947425842285,0
1596055623.880119,186.0937059420249,124.89217643915626,0,61.20152950286865,0
1596055623.8901258,187.8949058550498,124.89217643915626,0,63.002729415893555,0
1596055623.900121,189.69404583155128,124.89217643915626,0,64.80186939239502,0
1596055623.9101214,191.49412994562599,124.89217643915626,0,66.60195350646973,0
1596055623.9201148,193.29292659937354,124.89217643915626,0,68.40075016021729,0
1596055623.930129,195.09549980341407,124.89217643915626,0,70.20332336425781,0
1596055623.9401138,196.89275150476905,124.89217643915626,0,72.0005750656128,0
1596055623.9501219,198.69420890985938,124.89217643915626,0,73.80203247070312,0
1596055623.9601178,200.49347763239356,124.89217643915626,0,75.6013011932373,0
1596055623.9701104,202.2921455401084,124.89217643915626,0,77.39996910095215,0
1596055623.9801302,204.09570579706642,124.89217643915626,0,79.20352935791016,0
1596055623.9901102,205.89209919153663,124.89217643915626,0,80.99992275238037,0
1596055624.000129,207.69548778711768,124.89217643915626,0,82.80331134796143,0
1596055624.0101285,209.49540023981544,124.89217643915626,0,84.60322380065918,0
1596055624.0201268,211.295098115792,124.89217643915626,0,86.40292167663574,0
1596055624.030133,213.09621219812843,124.89217643915626,0,88.20403575897217,0
1596055624.0401282,214.8953521746299,124.89217643915626,0,90.00317573547363,0
1596055624.0501118,216.69238929926368,124.89217643915626,0,91.80021286010742,0
1596055624.0601184,218.49358921228858,124.89217643915626,0,93.60141277313232,0
1596055624.0701337,220.29633407770606,124.89217643915626,0,95.4041576385498,0
1596055624.0801244,222.094658662667,124.89217643915626,0,97.20248222351074,0
1596055624.090121,223.8940561312339,124.89217643915626,0,99.00187969207764,0
1596055624.1001205,225.69396858393165,124.89217643915626,0,100.80179214477539,0
1596055624.1101239,227.49456768213722,124.89217643915626,0,102.60239124298096,0
1596055624.1201317,229.2959821718833,124.89217643915626,0,104.40380573272705,0
1596055624.130122,231.09422092615577,124.89217643915626,0,106.20204448699951,0
1596055624.140132,232.896021654,124.89217643915626,0,108.00384521484375,0
1596055624.1501286,234.6954191225669,124.89217643915626,0,109.80324268341064,0
1596055624.160124,236.4946020144126,124.89217643915626,0,111.60242557525635,0
1596055624.1701229,238.29438572107765,124.89217643915626,0,113.40220928192139,0
1596055624.180128,240.09532814203712,124.89217643915626,0,115.20315170288086,0
1596055624.1901112,241.89227943598243,124.89217643915626,0,117.00010299682617,0
1596055624.2001283,243.69536762415382,124.89217643915626,0,118.80319118499756,0
1596055624.2101297,245.49562339960548,124.89217643915626,0,120.60344696044922,0
1596055624.2201233,247.29446296869727,124.89217643915626,0,122.40228652954102,0
1596055624.2301137,249.09274463831397,124.89217643915626,0,124.20056819915771,0
1596055624.2401161,250.8931720751426,124.89217643915626,0,126.00099563598633,0
1596055624.250117,252.69334201990577,124.89217643915626,0,127.80116558074951,0
1596055624.260131,254.49582939325782,124.89217643915626,0,129.60365295410156,0
1596055624.2701237,256.29454021631693,124.89217643915626,0,131.40236377716064,0
1596055624.280132,258.0960405367515,124.89217643915626,0,133.20386409759521,0
