Timestamp,Phase,Heading,Ping?
1596032052.2101288,65.12174480295182,27.319935492038738,0
1596032052.2201219,66.92049854135514,27.319935492038738,0
1596032052.2301362,68.72307174539567,27.319935492038738,0
1596032052.2401307,70.52208297586442,27.319935492038738,0
1596032052.2501254,72.32113712167741,27.319935492038738,0
1596032052.2601347,74.12280910348893,27.319935492038738,0
1596032052.270127,75.92143409585954,27.319935492038738,0
1596032052.280119,77.71997325754167,27.319935492038738,0
1596032052.2901375,79.52331893777848,27.319935492038738,0
1596032052.3001251,81.32108562326432,27.319935492038738,0
1596032052.3101234,83.12078349924089,27.319935492038738,0
1596032052.3201272,84.92146842813493,27.319935492038738,0
1596032052.3301287,86.72172420358659,27.319935492038738,0
1596032052.3401299,88.52193706369401,27.319935492038738,0
1596032052.3501294,90.32184951639177,27.319935492038738,0
1596032052.3601222,92.12056033945085,27.319935492038738,0
1596032052.370119,93.92000072336198,27.319935492038738,0
1596032052.3801365,95.7231318268776,27.319935492038738,0
1596032052.390134,97.52270095682145,27.319935492038738,0
1596032052.4001262,99.32128303384782,27.319935492038738,0
1596032052.4101284,101.1216675553322,27.319935492038738,0
1596032052.4201326,102.92243831491471,27.319935492038738,0
1596032052.4301298,104.72192161417009,27.319935492038738,0
1596032052.440127,106.52140491342546,27.319935492038738,0
1596032052.450127,108.32140319681169,27.319935492038738,0
1596032052.4601398,110.12371890878678,27.319935492038738,0
1596032052.4701347,111.92281596994401,27.319935492038738,0
1596032052.4801357,113.7229859147072,27.319935492038738,0
1596032052.4901383,115.52345626688005,27.319935492038738,0
1596032052.5001388,117.32354038095475,27.319935492038738,0
1596032052.5101392,119.12362449502946,27.319935492038738,0
1596032052.520121,120.92036121225358,27.319935492038738,0
1596032052.5301194,122.72005908823014,27.319935492038738,0
1596032052.5401332,124.5225464615822,27.319935492038738,0
1596032052.5501344,126.32275932168962,27.319935492038738,0
1596032052.5601196,128.12009685373306,27.319935492038738,0
1596032052.570123,129.92069595193863,27.319935492038738,0
1596032052.5801313,131.7221962723732,27.319935492038738,0
1596032052.5901186,133.5199200425148,27.319935492038738,0
1596032052.60012,135.32017581796646,27.319935492038738,0
1596032052.610132,137.1223198685646,27.319935492038738,0
1596032052.6201386,138.9235197815895,27.319935492038738,0
1596032052.630135,140.72287433481216,27.319935492038738,0
1596032052.6401327,142.522443464756,27.319935492038738,0
1596032052.650138,144.32338588571548,27.319935492038738,0
1596032052.660127,146.12141006326675,27.319935492038738,0
1596032052.670139,147.92359702920913,27.319935492038738,0
1596032052.680129,149.72179286813736,27.319935492038738,0
1596032052.6901252,151.52110450601577,27.319935492038738,0
1596032052.7001243,153.32093112802505,27.319935492038738,0
1596032052.7101197,155.12011401987075,27.319935492038738,0
1596032052.720124,156.92088477945327,27.319935492038738,0
1596032052.7301328,158.72247093057632,27.319935492038738,0
1596032052.7401266,160.52135341501236,27.319935492038738,0
1596032052.7501314,162.32221000528335,27.319935492038738,0
1596032052.7601254,164.12113540506363,27.319935492038738,0
1596032052.7701273,165.92147701120376,27.319935492038738,0
1596032052.7801254,167.7211319718361,27.319935492038738,0
1596032052.7901385,169.52349059915542,27.319935492038738,0
1596032052.8001208,171.32031314706802,27.319935492038738,0
1596032052.8101363,173.12310092782974,27.319935492038738,0
1596032052.8201191,174.9200093064308,27.319935492038738,0
1596032052.8301327,176.72245376443863,27.319935492038738,0
