Type = DelayAdvance,Function = Wang Sync Simple,Refract = 0.05,Coupling Strength = 0.7,Start_phase = 300
Timestamp,Phase,Offset,Ping?
1596167263,300,0,0
1596167263.01,301.7964792251587,1.6666666666666667,0,42
1596167263.02,303.59840869903564,1.6666666666666667,0,42
1596167263.03,305.3950595855713,1.6666666666666667,0,42
1596167263.04,307.1952724456787,1.6666666666666667,0,42
1596167263.05,308.9949703216553,1.6666666666666667,0,42
1596167263.06,310.79780101776123,1.6666666666666667,0,42
1596167263.07,312.59758472442627,1.6666666666666667,0,42
1596167263.08,314.39831256866455,1.6666666666666667,0,42
1596167263.09,316.19728088378906,1.6666666666666667,0,42
1596167263.1,317.99521923065186,1.6666666666666667,0,42
1596167263.11,319.79753494262695,1.6666666666666667,0,42
1596167263.12,321.5983057022095,1.6666666666666667,0,42
1596167263.1299999,323.3974885940552,1.6666666666666667,0,42
1596167263.1399999,325.19675731658936,1.6666666666666667,0,42
1596167263.1499999,326.9964551925659,1.6666666666666667,0,42
1596167263.1599998,328.79834175109863,1.6666666666666667,0,42
1596167263.1699998,330.59653759002686,1.6666666666666667,0,42
1596167263.1799998,332.39636421203613,1.6666666666666667,0,42
1596167263.1899998,334.19567584991455,1.6666666666666667,0,42
1596167263.1999998,335.99520206451416,1.6666666666666667,0,42
1596167263.2099998,337.7969169616699,1.6666666666666667,0,42
1596167263.2199998,339.5960998535156,1.6666666666666667,0,42
1596167263.2299998,341.39811515808105,1.6666666666666667,0,42
1596167263.2399998,343.1981134414673,1.6666666666666667,0,42
1596167263.2499998,344.99836921691895,1.6666666666666667,0,42
1596167263.2599998,346.7955780029297,1.6666666666666667,0,42
1596167263.2699997,348.5975933074951,1.6666666666666667,0,42
1596167263.2799997,350.39535999298096,1.6666666666666667,0,42
1596167263.2899997,352.1959161758423,1.6666666666666667,0,42
1596167263.2999997,353.99810314178467,1.6666666666666667,0,42
1596167263.3099997,355.7959985733032,1.6666666666666667,0,42
1596167263.3199997,357.59556770324707,1.6666666666666667,0,42
1596167263.3299997,359.39698219299316,1.6666666666666667,0,42
1596167263.333366,360,1.6666666666666667,1
1596167263.333366,0,0,0
1596167263.343366,1.8024015426635742,0,0,42
1596167263.353366,3.6011552810668945,0,0,42
1596167263.363366,5.401411056518555,0,0,42
1596167263.3733659,7.200422286987305,0,0,42
1596167263.3833659,9.002866744995117,0,0,42
1596167263.3933659,10.801835060119629,0,0,42
1596167263.4033659,12.602477073669434,0,0,42
1596167263.4133658,14.401445388793945,0,0,42
1596167263.4233658,16.20105743408203,0,0,42
1596167263.4333658,18.001999855041504,0,0,42
1596167263.4433658,19.800710678100586,0,0,42
1596167263.4533658,21.602683067321777,0,0,42
1596167263.4633658,23.403453826904297,0,0,42
1596167263.4733658,25.202336311340332,0,0,42
1596167263.4833658,27.001948356628418,0,0,42
1596167263.4933658,28.801603317260742,0,0,42
1596167263.5033658,30.60340404510498,0,0,42
1596167263.5133657,32.40250110626221,0,0,42
1596167263.5233657,34.202542304992676,0,0,42
1596167263.5333657,36.00322723388672,0,0,42
1596167263.5433657,37.802581787109375,0,0,42
1596167263.5533657,39.603309631347656,0,0,42
1596167263.5633657,41.40300750732422,0,0,42
1596167263.5733657,43.203134536743164,0,0,42
1596167263.5833657,45.00047206878662,0,0,42
1596167263.5933657,46.802358627319336,0,0,42
1596167263.6033657,48.60055446624756,0,0,42
1596167263.6133657,50.40119647979736,0,0,42
1596167263.6233656,52.20252513885498,0,0,42
1596167263.6333656,54.00102138519287,0,0,42
1596167263.6433656,55.80132007598877,0,0,42
1596167263.6533656,57.59998798370361,0,0,42
1596167263.6633656,59.40041542053223,0,0,42
