Type = Reachback Firefly,Function = Reachback Firefly (ln/e^),Refract = 0.05,Epsilon = 0.002,Start_phase = 116
Timestamp,Phase,Offset,Ping?
1596173749,116,0,0
1596173749.01,117.7952346801758,0.6444444444444445,0,42
1596173749.02,119.59750747680665,0.6444444444444445,0,42
1596173749.03,121.39724826812746,0.6444444444444445,0,42
1596173749.04,123.19720363616945,0.6444444444444445,0,42
1596173749.05,124.99771690368654,0.6444444444444445,0,42
1596173749.06,126.7948398590088,0.6444444444444445,0,42
1596173749.07,128.59676933288574,0.6444444444444445,0,42
1596173749.08,130.39539432525635,0.6444444444444445,0,42
1596173749.09,132.19457721710205,0.6444444444444445,0,42
1596173749.1,133.99719333648682,0.6444444444444445,0,42
1596173749.11,135.79710578918457,0.6444444444444445,0,42
1596173749.12,137.59435749053955,0.6444444444444445,0,42
1596173749.1299999,139.39714527130127,0.6444444444444445,0,42
1596173749.1399999,141.1977014541626,0.6444444444444445,0,42
1596173749.1499999,142.99692726135254,0.6444444444444445,0,42
1596173749.1599998,144.79559516906738,0.6444444444444445,0,42
1596173749.1699998,146.59735298156738,0.6444444444444445,0,42
1596173749.1799998,148.39623546600342,0.6444444444444445,0,42
1596173749.1899998,150.19653415679932,0.6444444444444445,0,42
1596173749.1999998,151.99713325500488,0.6444444444444445,0,42
1596173749.2099998,153.7955436706543,0.6444444444444445,0,42
1596173749.2199998,155.59459781646729,0.6444444444444445,0,42
1596173749.2299998,157.39549732208252,0.6444444444444445,0,42
1596173749.2399998,159.19682598114014,0.6444444444444445,0,42
1596173749.2499998,160.99699592590332,0.6444444444444445,0,42
1596173749.2599998,162.79673671722412,0.6444444444444445,0,42
1596173749.2699997,164.59647750854492,0.6444444444444445,0,42
1596173749.2799997,166.39647579193115,0.6444444444444445,0,42
1596173749.2899997,168.19510078430176,0.6444444444444445,0,42
1596173749.2999997,169.99630069732666,0.6444444444444445,0,42
1596173749.3099997,171.7948398590088,0.6444444444444445,0,42
1596173749.3199997,173.5976276397705,0.6444444444444445,0,42
1596173749.3299997,175.39483642578125,0.6444444444444445,0,42
1596173749.3399997,177.19431972503662,0.6444444444444445,0,42
1596173749.3499997,178.9959487915039,0.6444444444444445,0,42
1596173749.3599997,180.79538917541504,0.6444444444444445,0,42
1596173749.3699996,182.59573078155518,0.6444444444444445,0,42
1596173749.3799996,184.3960723876953,0.6444444444444445,0,42
1596173749.3899996,186.19632816314697,0.6444444444444445,0,42
1596173749.3999996,187.9966697692871,0.6444444444444445,0,42
1596173749.4099996,189.79598140716553,0.6444444444444445,0,42
1596173749.4199996,191.59709548950195,0.6444444444444445,0,42
1596173749.4299996,193.395977973938,0.6444444444444445,0,42
1596173749.4399996,195.19468879699707,0.6444444444444445,0,42
1596173749.4499996,196.9973907470703,0.6444444444444445,0,42
1596173749.4599996,198.7962303161621,0.6444444444444445,0,42
1596173749.4699996,200.5952844619751,0.6444444444444445,0,42
1596173749.4799995,202.39532566070557,0.6444444444444445,0,42
1596173749.4899995,204.19562435150146,0.6444444444444445,0,42
1596173749.4999995,205.99420642852783,0.6444444444444445,0,42
1596173749.5099995,207.7959213256836,0.6444444444444445,0,42
1596173749.5199995,209.59428882598877,0.6444444444444445,0,42
1596173749.5299995,211.3968620300293,0.6444444444444445,0,42
1596173749.5399995,213.19621658325195,0.6444444444444445,0,42
1596173749.5499995,214.99694442749023,0.6444444444444445,0,42
1596173749.5599995,216.7974147796631,0.6444444444444445,0,42
1596173749.5699995,218.5970697402954,0.6444444444444445,0,42
1596173749.5799994,220.3975830078125,0.6444444444444445,0,42
1596173749.5899994,222.1964225769043,0.6444444444444445,0,42
1596173749.5999994,223.99569129943848,0.6444444444444445,0,42
1596173749.6099994,225.79517459869385,0.6444444444444445,0,42
1596173749.6199994,227.59663200378418,0.6444444444444445,0,42
1596173749.6299994,229.39701652526855,0.6444444444444445,0,42
1596173749.6399994,231.19465446472168,0.6444444444444445,0,42
1596173749.6499994,232.99443817138672,0.6444444444444445,0,42
1596173749.6599994,234.7955093383789,0.6444444444444445,0,42
1596173749.6699994,236.59533596038818,0.6444444444444445,0,42
1596173749.6799994,238.39572048187256,0.6444444444444445,0,42
1596173749.6899993,240.19636249542236,0.6444444444444445,0,42
1596173749.6999993,241.99640369415283,0.6444444444444445,0,42
1596173749.7099993,243.79605865478516,0.6444444444444445,0,42
1596173749.7199993,245.5973014831543,0.6444444444444445,0,42
1596173749.7299993,247.39532566070557,0.6444444444444445,0,42
1596173749.7399993,249.1975555419922,0.6444444444444445,0,42
1596173749.7499993,250.99588012695312,0.6444444444444445,0,42
1596173749.7599993,252.79527759552002,0.6444444444444445,0,42
1596173749.7699993,254.5963487625122,0.6444444444444445,0,42
1596173749.7799993,256.3941583633423,0.6444444444444445,0,42
1596173749.7899992,258.19428539276123,0.6444444444444445,0,42
1596173749.7999992,259.99685859680176,0.6444444444444445,0,42
1596173749.8099992,261.7942819595337,0.6444444444444445,0,42
1596173749.8199992,263.59543895721436,0.6444444444444445,0,42
1596173749.8299992,265.39517974853516,0.6444444444444445,0,42
1596173749.8399992,267.1958646774292,0.6444444444444445,0,42
1596173749.8499992,268.99736499786377,0.6444444444444445,0,42
1596173749.8599992,270.7969341278076,0.6444444444444445,0,42
1596173749.8699992,272.59706115722656,0.6444444444444445,0,42
1596173749.8799992,274.3964157104492,0.6444444444444445,0,42
