Type = Reachback Firefly,Function = Reachback Firefly (ln/e^),Refract = 0.05,Epsilon = 0.002,Start_phase = 302
Timestamp,Phase,Offset,Ping?
1596173529,302,0,0
1596173529.01,303.7956209182739,1.6777777777777778,0,42
1596173529.02,305.59561920166016,1.6777777777777778,0,42
1596173529.03,307.3961753845215,1.6777777777777778,0,42
1596173529.04,309.19608783721924,1.6777777777777778,0,42
1596173529.05,310.99630069732666,1.6777777777777778,0,42
1596173529.06,312.7983160018921,1.6777777777777778,0,42
1596173529.07,314.5974130630493,1.6777777777777778,0,42
1596173529.08,316.39706802368164,1.6777777777777778,0,42
1596173529.09,318.1989974975586,1.6777777777777778,0,42
1596173529.1,319.9983949661255,1.6777777777777778,0,42
1596173529.11,321.7980499267578,1.6777777777777778,0,42
1596173529.12,323.5972328186035,1.6777777777777778,0,42
1596173529.1299999,325.39555740356445,1.6777777777777778,0,42
1596173529.1399999,327.1982593536377,1.6777777777777778,0,42
1596173529.1499999,328.99649810791016,1.6777777777777778,0,42
1596173529.1599998,330.7988567352295,1.6777777777777778,0,42
1596173529.1699998,332.59619426727295,1.6777777777777778,0,42
1596173529.1799998,334.396879196167,1.6777777777777778,0,42
1596173529.1899998,336.1955041885376,1.6777777777777778,0,42
1596173529.1999998,337.99799156188965,1.6777777777777778,0,42
1596173529.2099998,339.79850482940674,1.6777777777777778,0,42
1596173529.2199998,341.5980739593506,1.6777777777777778,0,42
1596173529.2299998,343.39588356018066,1.6777777777777778,0,42
1596173529.2399998,345.1966972351074,1.6777777777777778,0,42
1596173529.2499998,346.996395111084,1.6777777777777778,0,42
1596173529.2599998,348.7981958389282,1.6777777777777778,0,42
1596173529.2699997,350.5959196090698,1.6777777777777778,0,42
1596173529.2799997,352.39862155914307,1.6777777777777778,0,42
1596173529.2899997,354.19823360443115,1.6777777777777778,0,42
1596173529.2999997,355.99561405181885,1.6777777777777778,0,42
1596173529.3099997,357.79883098602295,1.6777777777777778,0,42
1596173529.3199997,359.5982713699341,1.6777777777777778,0,42
1596173529.3222513,360,1.6777777777777778,1
1596173529.3222513,0,0,0
1596173529.3322513,1.8033027648925781,0,0,42
1596173529.3422513,3.6008119583129883,0,0,42
1596173529.3522513,5.402097702026367,0,0,42
1596173529.3622513,7.200636863708496,0,0,42
1596173529.3722513,9.002137184143066,0,0,42
1596173529.3822513,10.802350044250488,0,0,42
1596173529.3922513,12.601962089538574,0,0,42
1596173529.4022512,14.400672912597656,0,0,42
1596173529.4122512,16.203203201293945,0,0,42
1596173529.4222512,18.000969886779785,0,0,42
1596173529.4322512,19.80259895324707,0,0,42
1596173529.4422512,21.600022315979004,0,0,42
1596173529.4522512,23.401222229003906,0,0,42
1596173529.4622512,25.202465057373047,0,0,42
1596173529.4722512,27.001819610595703,0,0,42
1596173529.4822512,28.801603317260742,0,0,42
1596173529.4922512,30.600099563598633,0,0,42
1596173529.5022511,32.40340232849121,0,0,42
