Type = DelayAdvance,Function = Wang Sync Simple,Refract = 0.05,Coupling Strength = 0.7,Start_phase = 251
Timestamp,Phase,Offset,Ping?
1596177439,251,0,0
1596177439.01,252.7986249923706,1.3944444444444444,0,42
1596177439.02,254.5973358154297,1.3944444444444444,0,42
1596177439.03,256.3955316543579,1.3944444444444444,0,42
1596177439.04,258.1979761123657,1.3944444444444444,0,42
1596177439.05,259.9962148666382,1.3944444444444444,0,42
1596177439.06,261.79737186431885,1.3944444444444444,0,42
1596177439.07,263.59878635406494,1.3944444444444444,0,42
1596177439.08,265.3965530395508,1.3944444444444444,0,42
1596177439.09,267.196551322937,1.3944444444444444,0,42
1596177439.1,268.9962921142578,1.3944444444444444,0,42
1596177439.11,270.79629039764404,1.3944444444444444,0,42
1596177439.12,272.59860610961914,1.3944444444444444,0,42
1596177439.1299999,274.39834690093994,1.3944444444444444,0,42
1596177439.1399999,276.19800186157227,1.3944444444444444,0,42
1596177439.1499999,277.9976568222046,1.3944444444444444,0,42
1596177439.1599998,279.7976551055908,1.3944444444444444,0,42
1596177439.1699998,281.59640884399414,1.3944444444444444,0,42
1596177439.1799998,283.39683628082275,1.3944444444444444,0,42
1596177439.1899998,285.19726371765137,1.3944444444444444,0,42
1596177439.1999998,286.99584579467773,1.3944444444444444,0,42
1596177439.2099998,288.7979040145874,1.3944444444444444,0,42
1596177439.2199998,290.59790229797363,1.3944444444444444,0,42
1596177439.2299998,292.3985013961792,1.3944444444444444,0,42
1596177439.2399998,294.19854259490967,1.3944444444444444,0,42
1596177439.2499998,295.99545097351074,1.3944444444444444,0,42
1596177439.2521703,296.38615226745605,1.3944444444444444,0
1596177439.2521703,340.91584568023677,1.641831630071004,0
1596177439.2599998,342.3271596908569,1.641831630071004,0,42
1596177439.2699997,344.1252267837524,1.641831630071004,0,42
1596177439.2799997,345.92646961212154,1.641831630071004,0,42
1596177439.2899997,347.72543792724605,1.641831630071004,0,42
1596177439.2999997,349.5283973693847,1.641831630071004,0,42
1596177439.3099997,351.3275802612304,1.641831630071004,0,42
1596177439.3199997,353.12710647583003,1.641831630071004,0,42
1596177439.3299997,354.92830638885493,1.641831630071004,0,42
1596177439.3399997,356.72572975158687,1.641831630071004,0,42
1596177439.3499997,358.5258567810058,1.641831630071004,0,42
1596177439.3582,360,1.641831630071004,1
1596177439.3582,0,0,0
1596177439.3682,1.8015003204345703,0,0,42
1596177439.3782,3.6016273498535156,0,0,42
1596177439.3882,5.400123596191406,0,0,42
1596177439.3982,7.201967239379883,0,0,42
1596177439.4082,9.002008438110352,0,0,42
1596177439.4182,10.802092552185059,0,0,42
1596177439.4282,12.60106086730957,0,0,42
1596177439.4382,14.402132034301758,0,0,42
1596177439.4482,16.2033748626709,0,0,42
1596177439.4582,18.00333023071289,0,0,42
1596177439.4682,19.801225662231445,0,0,42
1596177439.4782,21.60208225250244,0,0,42
1596177439.4882,23.401265144348145,0,0,42
1596177439.4982,25.20336627960205,0,0,42
1596177439.5082,27.002248764038086,0,0,42
1596177439.5182,28.802762031555176,0,0,42
1596177439.5282,30.603103637695312,0,0,42
1596177439.5382,32.4015998840332,0,0,42
1596177439.5482,34.20112609863281,0,0,42
1596177439.5582,35.99996566772461,0,0,42
1596177439.5681999,37.802066802978516,0,0,42
1596177439.5781999,39.601850509643555,0,0,42
1596177439.5881999,41.40124797821045,0,0,42
1596177439.5981998,43.202576637268066,0,0,42
1596177439.6081998,45.00072956085205,0,0,42
1596177439.6181998,46.802916526794434,0,0,42
1596177439.6281998,48.59999656677246,0,0,42
1596177439.6381998,50.40248394012451,0,0,42
1596177439.6481998,52.20256805419922,0,0,42
1596177439.6581998,54.00102138519287,0,0,42
1596177439.6681998,55.803165435791016,0,0,42
1596177439.6781998,57.60157585144043,0,0,42
1596177439.6881998,59.40131664276123,0,0,42
1596177439.6981997,61.202430725097656,0,0,42
1596177439.7081997,63.00178527832031,0,0,42
1596177439.7181997,64.80144023895264,0,0,42
1596177439.7281997,66.60135269165039,0,0,42
1596177439.7381997,68.40087890625,0,0,42
1596177439.7481997,70.20104885101318,0,0,42
1596177439.7581997,72.00220584869385,0,0,42
1596177439.7681997,73.80048751831055,0,0,42
1596177439.7781997,75.60237407684326,0,0,42
1596177439.7881997,77.40091323852539,0,0,42
1596177439.7981997,79.20151233673096,0,0,42
1596177439.8081996,81.00142478942871,0,0,42
1596177439.8181996,82.80120849609375,0,0,42
1596177439.8281996,84.60017681121826,0,0,42
1596177439.8381996,86.40270709991455,0,0,42
1596177439.8481996,88.2028341293335,0,0,42
1596177439.8581996,90.000901222229,0,0,42
1596177439.8681996,91.8002986907959,0,0,42
1596177439.8781996,93.60227108001709,0,0,42
1596177439.8881996,95.4021406173706,0,0,42
1596177439.8981996,97.20316886901855,0,0,42
1596177439.9081995,99.00033473968506,0,0,42
1596177439.9181995,100.800461769104,0,0,42
1596177439.9281995,102.60037422180176,0,0,42
1596177439.9381995,104.40290451049805,0,0,42
1596177439.9481995,106.20032787322998,0,0,42
1596177439.9581995,108.00161361694336,0,0,42
1596177439.9681995,109.80058193206787,0,0,42
1596177439.9781995,111.6014814376831,0,0,42
1596177439.9881995,113.4014368057251,0,0,42
1596177439.9981995,115.20087718963623,0,0,42
1596177440.0081995,117.00173377990723,0,0,42
1596177440.0181994,118.80005836486816,0,0,42
1596177440.0281994,120.6024169921875,0,0,42
1596177440.0381994,122.40039825439453,0,0,42
1596177440.0481994,124.2018985748291,0,0,42
1596177440.0581994,126.00009441375732,0,0,42
1596177440.0681994,127.8008222579956,0,0,42
1596177440.0781994,129.6025800704956,0,0,42
1596177440.0881994,131.4010763168335,0,0,42
1596177440.0981994,133.2004737854004,0,0,42
1596177440.1081994,135.00283241271973,0,0,42
1596177440.1181993,136.79986953735352,0,0,42
1596177440.1281993,138.6013698577881,0,0,42
1596177440.1381993,140.40038108825684,0,0,42
1596177440.1481993,142.20025062561035,0,0,42
1596177440.1581993,144.00119304656982,0,0,42
1596177440.1681993,145.80059051513672,0,0,42
1596177440.1781993,147.59994506835938,0,0,42
1596177440.1881993,149.40080165863037,0,0,42
1596177440.1981993,151.2020444869995,0,0,42
1596177440.2081993,153.00127029418945,0,0,42
1596177440.2181993,154.80238437652588,0,0,42
1596177440.2281992,156.59997940063477,0,0,42
1596177440.2381992,158.40160846710205,0,0,42
1596177440.2481992,160.20302295684814,0,0,42
1596177440.2581992,161.99988842010498,0,0,42
1596177440.2681992,163.80053043365479,0,0,42
1596177440.2781992,165.60134410858154,0,0,42
1596177440.2881992,167.40108489990234,0,0,42
1596177440.2981992,169.200439453125,0,0,42
1596177440.3081992,171.00035190582275,0,0,42
1596177440.3181992,172.80129432678223,0,0,42
1596177440.3281991,174.6022367477417,0,0,42
1596177440.3381991,176.4003038406372,0,0,42
1596177440.3481991,178.20291996002197,0,0,42
1596177440.3581991,180.00266075134277,0,0,42
1596177440.368199,181.80158615112305,0,0,42
1596177440.378199,183.60304355621338,0,0,42
1596177440.388199,185.40050983428955,0,0,42
1596177440.398199,187.1998643875122,0,0,42
1596177440.408199,189.0029525756836,0,0,42
1596177440.418199,190.80277919769287,0,0,42
1596177440.428199,192.6015329360962,0,0,42
1596177440.438199,194.4023036956787,0,0,42
1596177440.448199,196.1998987197876,0,0,42
1596177440.458199,198.00011157989502,0,0,42
1596177440.468199,199.80019569396973,0,0,42
1596177440.478199,201.60096645355225,0,0,42
1596177440.488199,203.4032392501831,0,0,42
1596177440.498199,205.20143508911133,0,0,42
1596177440.508199,207.00280666351318,0,0,42
1596177440.518199,208.80164623260498,0,0,42
1596177440.528199,210.60250282287598,0,0,42
1596177440.538199,212.40232944488525,0,0,42
1596177440.548199,214.20129776000977,0,0,42
1596177440.558199,215.9999656677246,0,0,42
1596177440.568199,217.79987812042236,0,0,42
1596177440.578199,219.60180759429932,0,0,42
1596177440.588199,221.40111923217773,0,0,42
1596177440.598199,223.20219039916992,0,0,42
1596177440.608199,225.00060081481934,0,0,42
1596177440.6181989,226.80016994476318,0,0,42
1596177440.6281989,228.60167026519775,0,0,42
1596177440.6381989,230.40153980255127,0,0,42
1596177440.6481988,232.2002077102661,0,0,42
1596177440.6581988,233.9998197555542,0,0,42
1596177440.6681988,235.8021354675293,0,0,42
1596177440.6781988,237.60273456573486,0,0,42
1596177440.6881988,239.40020084381104,0,0,42
1596177440.6981988,241.2017011642456,0,0,42
1596177440.7081988,243.00066947937012,0,0,42
1596177440.7181988,244.79989528656006,0,0,42
1596177440.7281988,246.6016960144043,0,0,42
1596177440.7381988,248.4023380279541,0,0,42
1596177440.7481987,250.19997596740723,0,0,42
1596177440.7581987,252.00284957885742,0,0,42
1596177440.7681987,253.8010025024414,0,0,42
1596177440.7781987,255.60022830963135,0,0,42
1596177440.7881987,257.4023723602295,0,0,42
1596177440.7981987,259.20069694519043,0,0,42
1596177440.8081987,261.0000944137573,0,0,42
1596177440.8181987,262.8022813796997,0,0,42
1596177440.8281987,264.6024513244629,0,0,42
1596177440.8381987,266.39978885650635,0,0,42
1596177440.8481987,268.20043087005615,0,0,42
1596177440.8581986,270.00060081481934,0,0,42
1596177440.8681986,271.8030023574829,0,0,42
1596177440.8781986,273.60098361968994,0,0,42
1596177440.8881986,275.40063858032227,0,0,42
1596177440.8981986,277.2026538848877,0,0,42
1596177440.9081986,279.00067806243896,0,0,42
1596177440.9181986,280.8024787902832,0,0,42
1596177440.9281986,282.6029062271118,0,0,42
1596177440.9381986,284.40080165863037,0,0,42
1596177440.9481986,286.20118618011475,0,0,42
1596177440.9581985,288.00208568573,0,0,42
1596177440.9681985,289.80255603790283,0,0,42
1596177440.9781985,291.60075187683105,0,0,42
1596177440.9881985,293.402681350708,0,0,42
1596177440.9981985,295.20147800445557,0,0,42
1596177441.0081985,297.0020341873169,0,0,42
1596177441.0181985,298.8028907775879,0,0,42
1596177441.0281985,300.6015157699585,0,0,42
1596177441.0381985,302.40044116973877,0,0,42
1596177441.0481985,304.202241897583,0,0,42
1596177441.0581985,306.00022315979004,0,0,42
1596177441.0681984,307.79996395111084,0,0,42
1596177441.0781984,309.60026264190674,0,0,42
1596177441.0881984,311.40124797821045,0,0,42
1596177441.0981984,313.20111751556396,0,0,42
1596177441.1081984,315.0005578994751,0,0,42
1596177441.1181984,316.8030881881714,0,0,42
1596177441.1281984,318.6009407043457,0,0,42
1596177441.1381984,320.4018831253052,0,0,42
1596177441.1481984,322.201452255249,0,0,42
1596177441.1581984,324.0008068084717,0,0,42
1596177441.1681983,325.8014488220215,0,0,42
1596177441.1781983,327.6028633117676,0,0,42
1596177441.1881983,329.40110206604004,0,0,42
1596177441.1981983,331.2003707885742,0,0,42
1596177441.2081983,333.00182819366455,0,0,42
1596177441.2181983,334.8001527786255,0,0,42
1596177441.2281983,336.60229682922363,0,0,42
1596177441.2381983,338.40105056762695,0,0,42
1596177441.2481983,340.2024221420288,0,0,42
1596177441.2581983,342.00096130371094,0,0,42
1596177441.2585368,342.06061363220215,0,0
1596177441.2585368,354.61818408966064,0.06976428031921386,0
1596177441.2681983,356.36041831970215,0.06976428031921386,0,42
1596177441.2781982,358.1583137512207,0.06976428031921386,0,42
1596177441.2873983,359.81325817108154,0.06976428031921386,0
1596177441.2873983,359.9439774513245,0.0704904985427857,0
1596177441.2877276,360,0.0704904985427857,1
1596177441.2877276,0,0,0
1596177441.2977276,1.8017578125,0,0,42
1596177441.3077276,3.6019277572631836,0,0,42
1596177441.3177276,5.402183532714844,0,0,42
1596177441.3277276,7.2005510330200195,0,0,42
1596177441.3377275,9.002480506896973,0,0,42
1596177441.3477275,10.801105499267578,0,0,42
1596177441.3577275,12.602605819702148,0,0,42
1596177441.3677275,14.400930404663086,0,0,42
1596177441.3777275,16.201529502868652,0,0,42
1596177441.3877275,18.000154495239258,0,0,42
1596177441.3977275,19.80186939239502,0,0,42
1596177441.4077275,21.6011381149292,0,0,42
1596177441.4177275,23.400020599365234,0,0,42
1596177441.4277275,25.202078819274902,0,0,42
1596177441.4377275,27.002205848693848,0,0,42
1596177441.4477274,28.802590370178223,0,0,42
1596177441.4577274,30.601816177368164,0,0,42
1596177441.4677274,32.40340232849121,0,0,42
1596177441.4777274,34.20164108276367,0,0,42
1596177441.4877274,36.00271224975586,0,0,42
1596177441.4977274,37.802839279174805,0,0,42
1596177441.5077274,39.601807594299316,0,0,42
1596177441.5177274,41.40120506286621,0,0,42
1596177441.5277274,43.20219039916992,0,0,42
1596177441.5377274,45.000643730163574,0,0,42
1596177441.5477273,46.80128574371338,0,0,42
1596177441.5577273,48.600640296936035,0,0,42
1596177441.5677273,50.40226936340332,0,0,42
1596177441.5777273,52.20282554626465,0,0,42
1596177441.5877273,54.00252342224121,0,0,42
1596177441.5977273,55.80312252044678,0,0,42
1596177441.6077273,57.60153293609619,0,0,42
1596177441.6177273,59.402174949645996,0,0,42
1596177441.6277273,61.200199127197266,0,0,42
1596177441.6377273,63.00152778625488,0,0,42
1596177441.6477273,64.8002815246582,0,0,42
1596177441.6577272,66.60306930541992,0,0,42
1596177441.6677272,68.40083599090576,0,0,42
1596177441.6777272,70.20164966583252,0,0,42
1596177441.6877272,72.00284957885742,0,0,42
1596177441.6977272,73.80035877227783,0,0,42
1596177441.7077272,75.6033182144165,0,0,42
1596177441.7177272,77.40310192108154,0,0,42
1596177441.7277272,79.20125484466553,0,0,42
1596177441.7377272,81.00236892700195,0,0,42
1596177441.7477272,82.80292510986328,0,0,42
1596177441.7577271,84.60330963134766,0,0,42
1596177441.7677271,86.40270709991455,0,0,42
1596177441.7777271,88.20030212402344,0,0,42
1596177441.787727,90.00197410583496,0,0,42
1596177441.797727,91.80235862731934,0,0,42
1596177441.807727,93.60008239746094,0,0,42
1596177441.817727,95.4026985168457,0,0,42
1596177441.827727,97.20149517059326,0,0,42
1596177441.837727,99.00059223175049,0,0,42
1596177441.847727,100.80187797546387,0,0,42
1596177441.857727,102.60054588317871,0,0,42
1596177441.867727,104.4007158279419,0,0,42
1596177441.877727,106.20088577270508,0,0,42
1596177441.887727,108.0010986328125,0,0,42
1596177441.897727,109.80126857757568,0,0,42
1596177441.907727,111.60165309906006,0,0,42
1596177441.917727,113.40057849884033,0,0,42
1596177441.927727,115.20276546478271,0,0,42
1596177441.937727,117.00074672698975,0,0,42
1596177441.947727,118.80186080932617,0,0,42
1596177441.957727,120.59997081756592,0,0,42
1596177441.967727,122.4012565612793,0,0,42
1596177441.977727,124.20267105102539,0,0,42
1596177441.987727,126.00241184234619,0,0,42
1596177441.997727,127.80262470245361,0,0,42
1596177442.007727,129.60330963134766,0,0,42
1596177442.017727,131.40184879302979,0,0,42
1596177442.027727,133.20313453674316,0,0,42
1596177442.0377269,135.00248908996582,0,0,42
1596177442.0477269,136.80261611938477,0,0,42
1596177442.0577269,138.601713180542,0,0,42
1596177442.0677269,140.40261268615723,0,0,42
1596177442.0777268,142.20093727111816,0,0,42
1596177442.0877268,144.0009355545044,0,0,42
1596177442.0977268,145.8030366897583,0,0,42
1596177442.1077268,147.60106086730957,0,0,42
1596177442.1177268,149.40165996551514,0,0,42
1596177442.1277268,151.20049953460693,0,0,42
1596177442.1377268,153.0019998550415,0,0,42
1596177442.1477268,154.80075359344482,0,0,42
1596177442.1577268,156.60143852233887,0,0,42
1596177442.1677268,158.40087890625,0,0,42
1596177442.1777267,160.20019054412842,0,0,42
1596177442.1877267,162.00096130371094,0,0,42
1596177442.1977267,163.80160331726074,0,0,42
1596177442.2077267,165.6031036376953,0,0,42
1596177442.2177267,167.40117073059082,0,0,42
1596177442.2277267,169.20318603515625,0,0,42
1596177442.2377267,171.00138187408447,0,0,42
1596177442.2477267,172.80296802520752,0,0,42
1596177442.2577267,174.60262298583984,0,0,42
1596177442.2677267,176.40240669250488,0,0,42
1596177442.2777267,178.20180416107178,0,0,42
1596177442.2877266,180.00042915344238,0,0,42
1596177442.2977266,181.80162906646729,0,0,42
1596177442.3077266,183.6029577255249,0,0,42
1596177442.3177266,185.402569770813,0,0,42
1596177442.3277266,187.2022247314453,0,0,42
1596177442.3377266,189.0026092529297,0,0,42
1596177442.3477266,190.8002471923828,0,0,42
1596177442.3577266,192.60191917419434,0,0,42
1596177442.3677266,194.40118789672852,0,0,42
1596177442.3777266,196.2013578414917,0,0,42
1596177442.3877265,198.00101280212402,0,0,42
1596177442.3977265,199.80221271514893,0,0,42
1596177442.4077265,201.60049438476562,0,0,42
1596177442.4177265,203.40044975280762,0,0,42
1596177442.4277265,205.20182132720947,0,0,42
1596177442.4377265,207.0016050338745,0,0,42
1596177442.4477265,208.80061626434326,0,0,42
1596177442.4577265,210.60293197631836,0,0,42
1596177442.4677265,212.39996910095215,0,0,42
1596177442.4777265,214.203143119812,0,0,42
1596177442.4877264,216.00232601165771,0,0,42
1596177442.4977264,217.8010368347168,0,0,42
1596177442.5077264,219.6002197265625,0,0,42
1596177442.5177264,221.4014196395874,0,0,42
1596177442.5277264,223.20133209228516,0,0,42
1596177442.5377264,225.00042915344238,0,0,42
1596177442.5477264,226.8028736114502,0,0,42
1596177442.5577264,228.60008239746094,0,0,42
1596177442.5677264,230.40287017822266,0,0,42
1596177442.5777264,232.20136642456055,0,0,42
1596177442.5877264,234.0011501312256,0,0,42
1596177442.5977263,235.80209255218506,0,0,42
1596177442.6077263,237.60011672973633,0,0,42
1596177442.6177263,239.4008445739746,0,0,42
1596177442.6277263,241.20049953460693,0,0,42
1596177442.6377263,243.0008840560913,0,0,42
1596177442.6477263,244.80259895324707,0,0,42
1596177442.6577263,246.6023826599121,0,0,42
1596177442.6677263,248.40186595916748,0,0,42
1596177442.6777263,250.20259380340576,0,0,42
1596177442.6877263,252.0031499862671,0,0,42
1596177442.6977262,253.8004446029663,0,0,42
1596177442.7077262,255.60271739959717,0,0,42
1596177442.7177262,257.4022436141968,0,0,42
1596177442.7277262,259.1999673843384,0,0,42
1596177442.7377262,261.00236892700195,0,0,42
1596177442.7477262,262.80107975006104,0,0,42
1596177442.7577262,264.60185050964355,0,0,42
1596177442.7677262,266.401891708374,0,0,42
1596177442.7777262,268.1998300552368,0,0,42
1596177442.7877262,270.00051498413086,0,0,42
1596177442.7977262,271.8029594421387,0,0,42
