Type = DelayAdvance,Function = Wang Sync Simple,Refract = 0,Coupling Strength = 0.7,Start_phase = 270
Timestamp,Phase,Offset,Ping?
1596159696,270,0,0
1596159696.01,271.7959213256836,1.5,0,42
1596159696.02,273.5969924926758,1.5,0,42
1596159696.03,275.39802074432373,1.5,0,42
1596159696.04,277.1986198425293,1.5,0,42
1596159696.05,278.99672985076904,1.5,0,42
1596159696.06,280.79750061035156,1.5,0,42
1596159696.07,282.598614692688,1.5,0,42
1596159696.08,284.3973684310913,1.5,0,42
1596159696.09,286.19826793670654,1.5,0,42
1596159696.1,287.9984378814697,1.5,0,42
1596159696.1005716,288.0986452102661,1.5,0
1596159696.1005716,338.42959356307983,1.779616379737854,0
1596159696.11,340.12753915786743,1.779616379737854,0,42
1596159696.12,341.9266791343689,1.779616379737854,0,42
1596159696.1299999,343.7289090156555,1.779616379737854,0,42
1596159696.1399999,345.5288643836975,1.779616379737854,0,42
1596159696.1499999,347.32912015914917,1.779616379737854,0,42
1596159696.1599998,349.12826013565063,1.779616379737854,0,42
1596159696.1699998,350.92855882644653,1.779616379737854,0,42
1596159696.1799998,352.72709798812866,1.779616379737854,0,42
1596159696.1899998,354.5277829170227,1.779616379737854,0,42
1596159696.1999998,356.32756662368774,1.779616379737854,0,42
1596159696.2099998,358.12910985946655,1.779616379737854,0,42
1596159696.2199998,359.92983770370483,1.779616379737854,0,42
1596159696.2204206,360,1.779616379737854,1
1596159696.2204206,0,0,0
1596159696.2304206,1.8005132675170898,0,0,42
1596159696.2404206,3.6016273498535156,0,0,42
1596159696.2504206,5.402827262878418,0,0,42
1596159696.2604206,7.202396392822266,0,0,42
1596159696.2704206,9.001836776733398,0,0,42
1596159696.279412,10.618457794189453,0,0
1596159696.279412,3.185537338256837,-0.04129400253295898,0
1596159696.2804205,3.3687429428100595,-0.04129400253295898,0,42
1596159696.2904205,5.170028686523438,-0.04129400253295898,0,42
1596159696.3004205,6.96775245666504,-0.04129400253295898,0,42
1596159696.3104205,8.768480300903322,-0.04129400253295898,0,42
1596159696.3204205,10.569508552551271,-0.04129400253295898,0,42
1596159696.3304205,12.368004798889162,-0.04129400253295898,0,42
1596159696.3404205,14.1698055267334,-0.04129400253295898,0,42
1596159696.3504205,15.969546318054201,-0.04129400253295898,0,42
1596159696.3604205,17.767098426818848,-0.04129400253295898,0,42
1596159696.3704205,19.56782627105713,-0.04129400253295898,0,42
1596159696.3804204,21.369884490966797,-0.04129400253295898,0,42
1596159696.3904204,23.16928195953369,-0.04129400253295898,0,42
1596159696.4004204,24.967177391052246,-0.04129400253295898,0,42
1596159696.4104204,26.7685489654541,-0.04129400253295898,0,42
1596159696.4204204,28.57034969329834,-0.04129400253295898,0,42
1596159696.4304204,30.367558479309082,-0.04129400253295898,0,42
1596159696.4404204,32.16983127593994,-0.04129400253295898,0,42
1596159696.4504204,33.96708297729492,-0.04129400253295898,0,42
1596159696.4604204,35.77029991149902,-0.04129400253295898,0,42
1596159696.4704204,37.56939697265625,-0.04129400253295898,0,42
1596159696.4804204,39.36767864227295,-0.04129400253295898,0,42
1596159696.4904203,41.16737651824951,-0.04129400253295898,0,42
1596159696.5004203,42.96861934661865,-0.04129400253295898,0,42
1596159696.5104203,44.76771640777588,-0.04129400253295898,0,42
1596159696.5204203,46.56750011444091,-0.04129400253295898,0,42
1596159696.5304203,48.368013381958,-0.04129400253295898,0,42
1596159696.5404203,50.16749668121337,-0.04129400253295898,0,42
1596159696.5504203,51.96835327148437,-0.04129400253295898,0,42
1596159696.5604203,53.76727867126464,-0.04129400253295898,0,42
1596159696.5704203,55.568435668945305,-0.04129400253295898,0,42
1596159696.5804203,57.36753273010253,-0.04129400253295898,0,42
1596159696.5904202,59.16984844207763,-0.04129400253295898,0,42
1596159696.6004202,60.96757221221923,-0.04129400253295898,0,42
1596159696.6104202,62.77027416229247,-0.04129400253295898,0,42
1596159696.6204202,64.5684700012207,-0.04129400253295898,0,42
1596159696.6304202,66.36709499359131,-0.04129400253295898,0,42
1596159696.6404202,68.16717910766602,-0.04129400253295898,0,42
1596159696.6504202,69.9697093963623,-0.04129400253295898,0,42
