Timestamp,HeadingPhase,Heading,HeadPing?,TimerPhase,TimerPing?
1596053504.000089,352.42521177306463,352.42521177306463,0,0,0
1596053504.0101159,354.22911535277655,1.803903579711914,0,0,0
1596053504.020112,356.02842699065496,3.603215217590332,0,0,0
1596053504.0301125,357.82851110472967,5.403299331665039,0,0,0
1596053504.040103,359.62679277434637,7.201581001281738,0,0,0
1596053504.0501099,1.4280356027155108,9.002823829650879,0,0,0
1596053504.0601072,3.22756181731512,10.802350044250488,0,0,0
1596053504.0700946,5.025285587456722,12.60007381439209,0,0,0
1596053504.08011,6.8280733682184405,14.402861595153809,0,0,0
1596053504.090107,8.627513752129573,16.20230197906494,0,0,0
1596053504.1001065,10.427426204827327,18.002214431762695,0,0,0
1596053504.110104,12.226995334771175,19.801783561706543,0,0,0
1596053504.1201055,14.027251110222835,21.602039337158203,0,0,0
1596053504.1301105,15.82815061583807,23.402938842773438,0,0,0
1596053504.1401093,17.62793432250311,25.202722549438477,0,0,0
1596053504.150094,19.42518602385809,26.999974250793457,0,0,0
1596053504.160113,21.228617534783382,28.80340576171875,0,0,0
1596053504.1700988,23.026040897515315,30.600829124450684,0,0,0
1596053504.1801157,24.829086170342464,32.40387439727783,0,0,0
1596053504.190111,26.62822614684393,34.2030143737793,0,0,0
1596053504.2001,28.4262503243952,36.001038551330566,0,0,0
1596053504.2100961,30.225561962273616,37.800350189208984,0,0,0
1596053504.220112,32.02843557372381,39.60322380065918,0,0,0
1596053504.2301118,33.828390941765804,41.40317916870117,0,0,0
1596053504.2400982,35.62594305053045,43.20073127746582,0,0,0
1596053504.2501044,37.42705713286688,45.001845359802246,0,0,0
1596053504.260106,39.227355823662776,46.802144050598145,0,0,0
1596053504.27011,41.02804075255682,48.60282897949219,0,0,0
1596053504.2801113,42.82829652800848,50.40308475494385,0,0,0
1596053504.290106,44.62735067382147,52.202138900756836,0,0,0
1596053504.300108,46.427692279961605,54.00248050689697,0,0,0
1596053504.3101149,48.228935108330745,55.80372333526611,0,0,0
1596053504.3200984,50.025972232964534,57.6007604598999,0,0,0
1596053504.3300974,51.82579885497381,59.40058708190918,0,0,0
1596053504.3401139,53.62875829711248,61.20354652404785,0,0,0
1596053504.3501112,55.42828451171209,63.00307273864746,0,0,0
1596053504.3600943,57.225235805657405,64.80002403259277,0,0,0
1596053504.370103,59.026779041436214,66.60156726837158,0,0,0
1596053504.380115,60.8289660073786,68.40375423431396,0,0,0
1596053504.3901062,62.62737642302801,70.20216464996338,0,0,0
1596053504.4001014,64.42651639952948,72.00130462646484,0,0,0
1596053504.4101095,66.22797380461981,73.80276203155518,0,0,0
1596053504.4200995,68.02616964354803,75.6009578704834,0,0,0
1596053504.4300938,69.82513795867254,77.39992618560791,0,0,0
1596053504.4401124,71.62848363890936,79.20327186584473,0,0,0
1596053504.4500997,73.42620740905096,81.00099563598633,0,0,0
1596053504.4601142,75.22882352843573,82.8036117553711,0,0,0
1596053504.4701002,77.0262898065119,84.60107803344727,0,0,0
1596053504.4801,78.82624517455389,86.40103340148926,0,0,0
1596053504.490109,80.62787424102117,88.20266246795654,0,0,0
1596053504.5000958,82.4255121804743,90.00030040740967,0,0,0
1596053504.5101063,84.22739873900701,91.80218696594238,0,0,0
1596053504.5201075,86.02761159911444,93.6023998260498,0,0,0
1596053504.5301132,87.82863985076239,95.40342807769775,0,0,0
1596053504.5400944,89.62524782195379,97.20003604888916,0,0,0
1596053504.5501108,91.42820726409246,99.00299549102783,0,0,0
1596053504.560106,93.22734724059393,100.8021354675293,0,0,0
1596053504.5701132,95.02863298430731,102.60342121124268,0,0,0
1596053504.5801206,96.82996164336492,104.4047498703003,0,0,0
1596053504.5901048,98.62712751403143,106.2019157409668,0,0,0
1596053504.600106,100.42734037413885,108.00212860107422,0,0,0
