Timestamp,Phase,Heading,HeadPing?,Timer,TimerPing?
1596051029.0003402,60.0,60.0,0,0,0
1596051029.0103583,61.80180072784424,60.0,0,1.8018007278442383,0
1596051029.0203586,63.60184192657471,60.0,0,3.601841926574707,0
1596051029.0303483,65.39999485015869,60.0,0,5.399994850158691,0
1596051029.0403652,67.20304012298584,60.0,0,7.20304012298584,0
1596051029.0503504,69.0003776550293,60.0,0,9.000377655029297,0
1596051029.0603652,70.8030366897583,60.0,0,10.8030366897583,0
1596051029.0703526,72.6007604598999,60.0,0,12.600760459899902,0
1596051029.0803654,74.403076171875,60.0,0,14.403076171875,0
1596051029.0903487,76.20007038116455,60.0,0,16.20007038116455,0
1596051029.1003664,78.00324440002441,60.0,0,18.003244400024414,0
1596051029.110351,79.8004961013794,60.0,0,19.800496101379395,0
1596051029.1203668,81.60332679748535,60.0,0,21.60332679748535,0
1596051029.1303551,83.4012222290039,60.0,0,23.401222229003906,0
1596051029.1403499,85.2002763748169,60.0,0,25.200276374816895,0
1596051029.150362,87.00246334075928,60.0,0,27.002463340759277,0
1596051029.1603549,88.80117416381836,60.0,0,28.80117416381836,0
1596051029.1703537,90.6009578704834,60.0,0,30.6009578704834,0
1596051029.180368,92.40353107452393,60.0,0,32.403531074523926,0
1596051029.1903553,94.20125484466553,60.0,0,34.20125484466553,0
1596051029.2003648,96.00296974182129,60.0,0,36.00296974182129,0
1596051029.2103503,97.80035018920898,60.0,0,37.800350189208984,0
1596051029.2203636,99.60275173187256,60.0,0,39.60275173187256,0
1596051029.2303631,101.40266418457031,60.0,0,41.40266418457031,0
1596051029.2403486,103.20004463195801,60.0,0,43.20004463195801,0
1596051029.2503695,105.0038194656372,60.0,0,45.00381946563721,0
1596051029.2603586,106.80184364318848,60.0,0,46.80184364318848,0
1596051029.270356,108.60136985778809,60.0,0,48.601369857788086,0
1596051029.2803636,110.40274143218994,60.0,0,50.40274143218994,0
1596051029.2903564,112.20145225524902,60.0,0,52.20145225524902,0
1596051029.3003523,114.0007209777832,60.0,0,54.0007209777832,0
1596051029.3103485,115.80003261566162,60.0,0,55.80003261566162,0
1596051029.3203485,117.60003089904785,60.0,0,57.60003089904785,0
1596051029.330348,119.3999433517456,60.0,0,59.399943351745605,0
1596051029.3403676,121.20346069335938,60.0,0,61.203460693359375,0
1596051029.3503673,123.00341606140137,60.0,0,63.00341606140137,0
1596051029.3603609,124.80225563049316,60.0,0,64.80225563049316,0
1596051029.3703504,126.60036563873291,60.0,0,66.60036563873291,0
1596051029.3803613,128.4023380279541,60.0,0,68.4023380279541,0
1596051029.3903573,130.20160675048828,60.0,0,70.20160675048828,0
1596051029.4003592,132.00194835662842,60.0,0,72.00194835662842,0
1596051029.4103565,133.80147457122803,60.0,0,73.80147457122803,0
1596051029.4203598,135.6020736694336,60.0,0,75.6020736694336,0
1596051029.4303658,137.40314483642578,60.0,0,77.40314483642578,0
1596051029.4403503,139.20035362243652,60.0,0,79.20035362243652,0
1596051029.4503505,141.000394821167,60.0,0,81.00039482116699,0
1596051029.4603603,142.802152633667,60.0,0,82.80215263366699,0
1596051029.4703612,144.60232257843018,60.0,0,84.60232257843018,0
1596051029.4803677,146.40347957611084,60.0,0,86.40347957611084,0
1596051029.4903593,148.20197582244873,60.0,0,88.20197582244873,0
1596051029.500356,150.00137329101562,60.0,0,90.00137329101562,0
1596051029.510357,151.8015432357788,60.0,0,91.80154323577881,0
1596051029.52036,153.60209941864014,60.0,0,93.60209941864014,0
1596051029.530362,155.40244102478027,60.0,0,95.40244102478027,0
1596051029.5403516,157.20059394836426,60.0,0,97.20059394836426,0
1596051029.5503662,159.00321006774902,60.0,0,99.00321006774902,0
1596051029.5603638,160.80277919769287,60.0,0,100.80277919769287,0
1596051029.570352,162.60067462921143,60.0,0,102.60067462921143,0
1596051029.58035,164.4002866744995,60.0,0,104.40028667449951,0
1596051029.5903585,166.20182991027832,60.0,0,106.20182991027832,0
1596051029.600364,168.00281524658203,60.0,0,108.00281524658203,0
1596051029.6103668,169.80332851409912,60.0,0,109.80332851409912,0
1596051029.6203566,171.6014814376831,60.0,0,111.6014814376831,0
1596051029.6303546,173.40113639831543,60.0,0,113.40113639831543,0
1596051029.640361,175.2022933959961,60.0,0,115.2022933959961,0
1596051029.6503563,177.00143337249756,60.0,0,117.00143337249756,0
1596051029.6603682,178.8035774230957,60.0,0,118.8035774230957,0
1596051029.670369,180.60370445251465,60.0,0,120.60370445251465,0
1596051029.680358,182.40172863006592,60.0,0,122.40172863006592,0
1596051029.69037,184.2039155960083,60.0,0,124.2039155960083,0
1596051029.7003586,186.0018539428711,60.0,0,126.0018539428711,0
1596051029.7103553,187.801251411438,60.0,0,127.80125141143799,0
1596051029.7203603,189.60215091705322,60.0,0,129.60215091705322,0
1596051029.730359,191.40193462371826,60.0,0,131.40193462371826,0
1596051029.7403576,193.20167541503906,60.0,0,133.20167541503906,0
1596051029.7503676,195.0034761428833,60.0,0,135.0034761428833,0
1596051029.7603598,196.80205821990967,60.0,0,136.80205821990967,0
1596051029.770369,198.6037302017212,60.0,0,138.6037302017212,0
1596051029.780356,200.40136814117432,60.0,0,140.40136814117432,0
1596051029.7903624,202.20252513885498,60.0,0,142.20252513885498,0
1596051029.8003645,204.00290966033936,60.0,0,144.00290966033936,0
1596051029.8103652,205.8030366897583,60.0,0,145.8030366897583,0
1596051029.8203602,207.60213375091553,60.0,0,147.60213375091553,0
1596051029.8303533,209.40088748931885,60.0,0,149.40088748931885,0
1596051029.8403487,211.20007038116455,60.0,0,151.20007038116455,0
1596051029.8503585,213.00182819366455,60.0,0,153.00182819366455,0
1596051029.860367,214.80337142944336,60.0,0,154.80337142944336,0
1596051029.8703659,216.6031551361084,60.0,0,156.6031551361084,0
1596051029.8803678,218.40349674224854,60.0,0,158.40349674224854,0
1596051029.8903484,220.20001888275146,60.0,0,160.20001888275146,0
1596051029.900364,222.00280666351318,60.0,0,162.00280666351318,0
1596051029.9103687,223.80366325378418,60.0,0,163.80366325378418,0
1596051029.9203486,225.6000566482544,60.0,0,165.6000566482544,0
1596051029.9303524,227.40074157714844,60.0,0,167.40074157714844,0
1596051029.9403665,229.20327186584473,60.0,0,169.20327186584473,0
1596051029.9503613,231.00232601165771,60.0,0,171.00232601165771,0
1596051029.9603572,232.8015947341919,60.0,0,172.8015947341919,0
1596051029.9703503,234.60034847259521,60.0,0,174.60034847259521,0
1596051029.9803488,236.40008926391602,60.0,0,176.40008926391602,0
1596051029.9903634,238.20270538330078,60.0,0,178.20270538330078,0
1596051030.000357,240.00154495239258,60.0,0,180.00154495239258,0
1596051030.0103555,241.80128574371338,60.0,0,181.80128574371338,0
1596051030.0203552,243.60124111175537,60.0,0,183.60124111175537,0
1596051030.0303507,245.40042400360107,60.0,0,185.40042400360107,0
1596051030.0403516,247.20059394836426,60.0,0,187.20059394836426,0
1596051030.0503595,249.00200843811035,60.0,0,189.00200843811035,0
1596051030.0604558,250.81934452056885,60.0,0,190.81934452056885,0
1596051030.070366,252.60316371917725,60.0,0,192.60316371917725,0
1596051030.0803638,254.40277576446533,60.0,0,194.40277576446533,0
1596051030.090354,256.2010145187378,60.0,0,196.2010145187378,0
1596051030.1003666,258.00328731536865,60.0,0,198.00328731536865,0
1596051030.110354,259.80101108551025,60.0,0,199.80101108551025,0
1596051030.12036,261.60208225250244,60.0,0,201.60208225250244,0
1596051030.13036,263.4020805358887,60.0,0,203.40208053588867,0
1596051030.1403542,265.2010488510132,60.0,0,205.20104885101318,0
1596051030.1503673,267.0034074783325,60.0,0,207.00340747833252,0
