Type = Mirollor Strogatz (-ish),Function = Mirollor Strogatz,Refract = 0.05,Epsilon = 0.3,B = 5,Start_phase = 105
Timestamp,Phase,Offset,Ping?
1596178289,105,0,0
1596178289.0028787,105.51498413085938,0.5833333333333334,0
1596178289.0028787,360.0,1.9971389770507812,0
1596178289.003039,360,1.9971389770507812,1
1596178289.003039,0,0,0
1596178289.0130389,1.8019723892211914,0,0,42
1596178289.0230389,3.600597381591797,0,0,42
1596178289.0330389,5.400080680847168,0,0,42
1596178289.0430388,7.20304012298584,0,0,42
1596178289.0530388,9.002523422241211,0,0,42
1596178289.0630388,10.801148414611816,0,0,42
1596178289.0730388,12.60080337524414,0,0,42
1596178289.0830388,14.402861595153809,0,0,42
1596178289.0930388,16.20311737060547,0,0,42
1596178289.1030388,18.002686500549316,0,0,42
1596178289.1130388,19.802513122558594,0,0,42
1596178289.1230388,21.601696014404297,0,0,42
1596178289.1330388,23.402466773986816,0,0,42
1596178289.1430387,25.200061798095703,0,0,42
1596178289.1530387,27.002205848693848,0,0,42
1596178289.1630387,28.80040168762207,0,0,42
1596178289.1730387,30.600228309631348,0,0,42
1596178289.1830387,32.40117073059082,0,0,42
1596178289.1930387,34.20219898223877,0,0,42
1596178289.2030387,36.00344181060791,0,0,42
1596178289.2130387,37.80219554901123,0,0,42
1596178289.2230387,39.60163593292236,0,0,42
1596178289.2330387,41.401591300964355,0,0,42
1596178289.2430387,43.20017337799072,0,0,42
1596178289.2530386,45.002875328063965,0,0,42
1596178289.2630386,46.80244445800781,0,0,42
1596178289.2730386,48.60171318054199,0,0,42
1596178289.2830386,50.40278434753418,0,0,42
1596178289.2930386,52.202138900756836,0,0,42
1596178289.3030386,54.00029182434082,0,0,42
1596178289.3130386,55.80260753631592,0,0,42
1596178289.3230386,57.6027774810791,0,0,42
1596178289.3330386,59.40002918243408,0,0,42
1596178289.3430386,61.202216148376465,0,0,42
1596178289.3530385,63.00285816192627,0,0,42
1596178289.3630385,64.79998111724854,0,0,42
1596178289.3730385,66.60302639007568,0,0,42
1596178289.3830385,68.40044975280762,0,0,42
1596178289.3930385,70.20285129547119,0,0,42
1596178289.4030385,72.00332164764404,0,0,42
1596178289.4130385,73.80078792572021,0,0,42
1596178289.4230385,75.60293197631836,0,0,42
1596178289.4330385,77.40052700042725,0,0,42
1596178289.4430385,79.20129776000977,0,0,42
1596178289.4530385,81.00103855133057,0,0,42
1596178289.4630384,82.80129432678223,0,0,42
1596178289.4730384,84.6002197265625,0,0,42
1596178289.4830384,86.40283584594727,0,0,42
1596178289.4930384,88.20090293884277,0,0,42
1596178289.5030384,90.00064373016357,0,0,42
1596178289.5130384,91.80025577545166,0,0,42
1596178289.5230384,93.60008239746094,0,0,42
1596178289.5330384,95.40055274963379,0,0,42
1596178289.5430384,97.20286846160889,0,0,42
1596178289.5530384,99.00119304656982,0,0,42
1596178289.5630383,100.80277919769287,0,0,42
1596178289.5730383,102.60088920593262,0,0,42
1596178289.5830383,104.40311908721924,0,0,42
1596178289.5930383,106.20285987854004,0,0,42
1596178289.6030383,108.00285816192627,0,0,42
1596178289.6130383,109.80169773101807,0,0,42
1596178289.6230383,111.6007947921753,0,0,42
1596178289.6330383,113.40216636657715,0,0,42
1596178289.6430383,115.20130634307861,0,0,42
1596178289.6530383,117.00061798095703,0,0,42
1596178289.6630383,118.80271911621094,0,0,42
1596178289.6730382,120.60177326202393,0,0,42
1596178289.6830382,122.40009784698486,0,0,42
1596178289.6930382,124.20262813568115,0,0,42
1596178289.7030382,126.00138187408447,0,0,42
1596178289.7130382,127.80232429504395,0,0,42
1596178289.7230382,129.6025800704956,0,0,42
1596178289.7330382,131.40026092529297,0,0,42
1596178289.7430382,133.20064544677734,0,0,42
1596178289.7530382,135.00175952911377,0,0,42
1596178289.7630382,136.80283069610596,0,0,42
1596178289.7730381,138.6001682281494,0,0,42
1596178289.7830381,140.40329933166504,0,0,42
1596178289.7930381,142.20235347747803,0,0,42
1596178289.8030381,144.00123596191406,0,0,42
1596178289.813038,145.80020427703857,0,0,42
1596178289.823038,147.600417137146,0,0,42
1596178289.833038,149.40075874328613,0,0,42
1596178289.843038,151.20118618011475,0,0,42
1596178289.853038,153.0024290084839,0,0,42
1596178289.863038,154.8031997680664,0,0,42
1596178289.873038,156.60276889801025,0,0,42
1596178289.883038,158.40023517608643,0,0,42
1596178289.893038,160.20203590393066,0,0,42
1596178289.903038,162.00207710266113,0,0,42
