Type = DelayAdvance,Function = Wang Sync Simple,Refract = 0.05,Coupling Strength = 0.7,Start_phase = 358
Timestamp,Phase,Offset,Ping?
1596177539,358,0,0
1596177539.01,359.7957067489624,1.988888888888889,0,42
1596177539.011154,360,1.988888888888889,1
1596177539.011154,0,0,0
1596177539.021154,1.8015861511230469,0,0,42
1596177539.031154,3.601498603820801,0,0,42
1596177539.041154,5.402698516845703,0,0,42
1596177539.051154,7.203083038330078,0,0,42
1596177539.061154,9.002995491027832,0,0,42
1596177539.0711539,10.802607536315918,0,0,42
1596177539.0811539,12.602133750915527,0,0,42
1596177539.0911539,14.401230812072754,0,0,42
1596177539.1011539,16.2007999420166,0,0,42
1596177539.1111538,18.00157070159912,0,0,42
1596177539.1211538,19.80062484741211,0,0,42
1596177539.1311538,21.601696014404297,0,0,42
1596177539.1411538,23.403196334838867,0,0,42
1596177539.1511538,25.201778411865234,0,0,42
1596177539.1611538,27.001347541809082,0,0,42
1596177539.1711538,28.8006591796875,0,0,42
1596177539.1811538,30.601558685302734,0,0,42
1596177539.1911538,32.40245819091797,0,0,42
1596177539.2011538,34.20151233673096,0,0,42
1596177539.2111537,36.00224018096924,0,0,42
1596177539.2211537,37.800307273864746,0,0,42
1596177539.2311537,39.60202217102051,0,0,42
1596177539.2411537,41.401376724243164,0,0,42
1596177539.2511537,43.203392028808594,0,0,42
1596177539.2611537,45.00180244445801,0,0,42
1596177539.2711537,46.801156997680664,0,0,42
1596177539.2811537,48.60342979431152,0,0,42
1596177539.2911537,50.40145397186279,0,0,42
1596177539.3011537,52.200422286987305,0,0,42
1596177539.3111537,53.99999141693115,0,0,42
1596177539.3211536,55.80209255218506,0,0,42
1596177539.3311536,57.60054588317871,0,0,42
1596177539.3411536,59.40135955810547,0,0,42
1596177539.3511536,61.20007038116455,0,0,42
1596177539.3611536,63.000755310058594,0,0,42
1596177539.3711536,64.80302810668945,0,0,42
1596177539.3811536,66.60105228424072,0,0,42
1596177539.3911536,68.40246677398682,0,0,42
1596177539.4011536,70.20255088806152,0,0,42
1596177539.4111536,72.00156211853027,0,0,42
1596177539.4211535,73.80143165588379,0,0,42
1596177539.4311535,75.60280323028564,0,0,42
1596177539.4411535,77.40087032318115,0,0,42
1596177539.4511535,79.20219898223877,0,0,42
1596177539.4611535,81.00095272064209,0,0,42
1596177539.4711535,82.80095100402832,0,0,42
1596177539.4811535,84.60288047790527,0,0,42
1596177539.4911535,86.40013217926025,0,0,42
1596177539.5011535,88.20210456848145,0,0,42
1596177539.5111535,89.99991416931152,0,0,42
1596177539.5211535,91.80270195007324,0,0,42
1596177539.5311534,93.60132694244385,0,0,42
1596177539.5411534,95.40003776550293,0,0,42
