Time Stamp,Phase Value,Heading,Ping?
1596210317.882974,360,275,1
1596210317.8829813,0,275,0
1596210317.8833842,613.8923454284668,275,0
1596210317.883446,613.8923454284668,275,0
1596210317.892771,255.6928586959839,275,0
1596210317.9028006,257.4981355667114,275,0
1596210317.9128013,259.29826259613037,275,0
1596210317.9227817,261.09461307525635,275,0
1596210317.9327805,262.8946113586426,275,0
1596210317.94279,264.69624042510986,275,0
1596210317.9527938,266.49696826934814,275,0
1596210317.9627807,268.29460620880127,275,0
1596210317.9727864,270.09567737579346,275,0
1596210317.982795,271.89722061157227,275,0
1596210317.992776,273.69369983673096,275,0
1596210318.0027487,275.49232482910156,275,0
1596210318.0127475,277.2921085357666,275,0
1596210318.0227616,279.09468173980713,275,0
1596210318.0327616,280.8946371078491,275,0
1596210318.0427477,282.69218921661377,275,0
1596210318.0527635,284.49493408203125,275,0
1596210318.0627494,286.2924861907959,275,0
1596210318.072764,288.09510231018066,275,0
1596210318.0827556,289.8935556411743,275,0
1596210318.0927472,291.69209480285645,275,0
1596210318.1027582,293.4940242767334,275,0
1596210318.1127489,295.2923917770386,275,0
1596210318.1227667,297.0956087112427,275,0
1596210318.1327658,298.89543533325195,275,0
1596210318.1427581,300.6940174102783,275,0
1596210318.1527622,302.4947452545166,275,0
1596210318.162763,304.294958114624,275,0
1596210318.1727662,306.0954284667969,275,0
1596210318.182756,307.8936243057251,275,0
1596210318.192756,309.6936225891113,275,0
1596210318.2027564,311.49370670318604,275,0
1596210318.212761,313.29456329345703,275,0
1596210318.2227645,315.0952482223511,275,0
1596210318.2327626,316.8949031829834,275,0
1596210318.2427561,318.69369983673096,275,0
1596210318.2527533,320.4931402206421,275,0
1596210318.2627494,322.2924518585205,275,0
1596210318.2727668,324.09558296203613,275,0
1596210318.2827594,325.894250869751,275,0
1596210318.2927518,327.6928758621216,275,0
1596210318.3027484,329.49223041534424,275,0
1596210318.3127582,331.2940740585327,275,0
1596210318.3227658,333.09544563293457,275,0
1596210318.3327591,334.8941993713379,275,0
1596210318.342747,336.6920518875122,275,0
1596210318.352756,338.49363803863525,275,0
1596210318.3627486,340.2923917770386,275,0
1596210318.372758,342.09402084350586,275,0
1596210318.3827605,343.8944482803345,275,0
1596210318.392753,345.6930732727051,275,0
1596210318.40276,347.4943161010742,275,0
1596210318.4127533,349.2932415008545,275,0
1596210318.4227571,351.09384059906006,275,0
1596210318.4327536,352.8932809829712,275,0
1596210318.4427574,354.69388008117676,275,0
1596210318.452767,356.49563789367676,275,0
1596210318.4627497,358.29246044158936,275,0
1596210318.4723365,360,275,1
1596210318.4723394,0,275,0
1596210318.4822547,1.803450584411621,275,0
1596210318.4922416,3.6010026931762695,275,0
1596210318.5022528,5.4030609130859375,275,0
1596210318.5122507,7.202672958374023,275,0
1596210318.5222518,9.002885818481445,275,0
1596210318.5322552,10.80352783203125,275,0
1596210318.54224,12.60077953338623,275,0
1596210318.5522416,14.401078224182129,275,0
1596210318.5622475,16.202106475830078,275,0
1596210318.5722477,18.002233505249023,275,0
1596210318.5822506,19.8026180267334,275,0
1596210318.5922472,21.60210132598877,275,0
1596210318.6022449,23.40162754058838,275,0
1596210318.6122448,25.20162582397461,275,0
1596210318.6222396,27.000679969787598,275,0
1596210318.6322565,28.803725242614746,275,0
1596210318.64225,30.602521896362305,275,0
1596210318.6522546,32.40333557128906,275,0
1596210318.6622584,34.20410633087158,275,0
1596210318.6722524,36.003031730651855,275,0
1596210318.682254,37.80324459075928,275,0
1596210318.692259,39.60418701171875,275,0
1596210318.702258,41.404056549072266,275,0
1596210318.7122593,43.20422649383545,275,0
1596210318.7222497,45.00246524810791,275,0
1596210318.7322443,46.80156230926514,275,0
1596210318.7422552,48.60349178314209,275,0
1596210318.7522435,50.401387214660645,275,0
1596210318.7622392,52.200613021850586,275,0
1596210318.7722576,54.003915786743164,275,0
1596210318.7822402,55.80086708068848,275,0
1596210318.7922583,57.604126930236816,275,0
1596210318.8022485,59.40232276916504,275,0
1596210318.8122451,61.201677322387695,275,0
1596210318.8222463,63.00189018249512,275,0
1596210318.8322594,64.80420589447021,275,0
1596210318.842255,66.60351753234863,275,0
1596210318.8522508,68.40278625488281,275,0
1596210318.8622415,70.20098209381104,275,0
1596210318.8722568,72.00376987457275,275,0
1596210318.8822517,73.80286693572998,275,0
1596210318.892243,75.6012773513794,275,0
1596210318.9022536,77.40324974060059,275,0
1596210318.9122527,79.20307636260986,275,0
1596210318.92225,81.00260257720947,275,0
1596210318.9322445,82.80161380767822,275,0
1596210318.942239,84.60066795349121,275,0
1596210318.9522479,86.40212535858154,275,0
1596210318.9622543,88.20336818695068,275,0
1596210318.9722486,90.00229358673096,275,0
1596210318.9822493,91.8024206161499,275,0
1596210318.9922554,93.60353469848633,275,0
1596210319.0022545,95.40344715118408,275,0
1596210319.012251,97.20271587371826,275,0
1596210319.0222425,99.00121212005615,275,0
1596210319.032245,100.80172538757324,275,0
1596210319.042239,102.60065078735352,275,0
1596210319.0522456,104.40180778503418,275,0
1596210319.0622437,106.20141983032227,275,0
1596210319.0722454,108.00171852111816,275,0
1596210319.0822392,109.80068683624268,275,0
1596210319.0922508,111.60278797149658,275,0
1596210319.1022427,113.40132713317871,275,0
1596210319.11224,115.20089626312256,275,0
1596210319.1222568,117.00381278991699,275,0
1596210319.1322558,118.80359649658203,275,0
1596210319.142249,120.60239315032959,275,0
1596210319.1522462,122.40187644958496,275,0
1596210319.1622431,124.20135974884033,275,0
1596210319.1722417,126.00110054016113,275,0
