Timestamp,Phase,Offset,Ping?
1595611911.0001085,299.9988,0,0
1595611911.0101316,301.8005148971558,1.66666,0
1595611911.0201395,303.6019293869019,1.66666,0
1595611911.030139,305.4018418395996,1.66666,0
1595611911.0401316,307.20050974731447,1.66666,0
1595611911.0501275,308.99977846984865,1.66666,0
1595611911.0601368,310.8014504516602,1.66666,0
1595611911.0701272,312.5997321212769,1.66666,0
1595611911.0801349,314.4011036956787,1.66666,0
1595611911.0901299,316.20020075683595,1.66666,0
1595611911.1001337,318.00088568573,1.66666,0
1595611911.1101348,319.8010985458374,1.66666,0
1595611911.1201227,321.5989081466675,1.66666,0
1595611911.1301322,323.40062304382326,1.66666,0
1595611911.1401389,325.20182295684816,1.66666,0
1595611911.1501355,327.00122042541506,1.66666,0
1595611911.1601336,328.8008753860474,1.66666,0
1595611911.1701384,330.6017319763184,1.66666,0
1595611911.1801353,332.4011723602295,1.66666,0
1595611911.1901379,334.20164271240236,1.66666,0
1595611911.2001348,336.0010830963135,1.66666,0
1595611911.2101345,337.8010384643555,1.66666,0
1595611911.2201247,339.59927721862795,1.66666,0
1595611911.2301407,341.40215083007814,1.66666,0
1595611911.2401252,343.1993596160889,1.66666,0
1595611911.2501378,345.00163241271974,1.66666,0
1595611911.2601292,346.8000857437134,1.66666,0
1595611911.2701278,348.5998265350342,1.66666,0
1595611911.2801406,350.4021422470093,1.66666,0
1595611911.290123,352.1989647949219,1.66666,0
1595611911.300138,354.00166674499513,1.66666,0
1595611911.3101375,355.8015791976929,1.66666,0
1595611911.3201385,357.6017491424561,1.66666,0
1595611911.330134,359.4009320343018,1.66666,0
1595611911.3334699,360,1.66666,1
1595611911.3334699,0,0,0
1595611911.3434746,1.800856590270996,0,0
1595611911.3488338,2.765507698059082,0,0
1595611911.3488338,360.0,1.9846360683441162,0
1595611911.3489566,360,1.9846360683441162,1
1595611911.3489566,0,0,0
1595611911.3589664,1.8017578125,0,0
1595611911.3627055,2.474799156188965,0,0
1595611911.3627055,360.0,1.9862511157989502,0
1595611911.362797,360,1.9862511157989502,1
1595611911.362797,0,0,0
1595611911.372806,1.8016290664672852,0,0
1595611911.3778298,2.7058982849121094,0,0
1595611911.3778298,360.0,1.9849672317504883,0
1595611911.37792,360,1.9849672317504883,1
1595611911.37792,0,0,0
1595611911.3879278,1.8014144897460938,0,0
1595611911.3929725,2.7094602584838867,0,0
1595611911.3929725,360.0,1.9849474430084229,0
1595611911.393046,360,1.9849474430084229,1
1595611911.393046,0,0,0
1595611911.4030561,1.8018436431884766,0,0
1595611911.4068546,2.4855709075927734,0,0
1595611911.4068546,360.0,1.9861912727355957,0
1595611911.4069278,360,1.9861912727355957,1
1595611911.4069278,0,0,0
1595611911.4169362,1.8015003204345703,0,0
1595611911.4207242,2.483339309692383,0,0
1595611911.4207242,360.0,1.986203670501709,0
1595611911.420796,360,1.986203670501709,1
1595611911.420796,0,0,0
1595611911.430814,1.8032598495483398,0,0
1595611911.4346044,2.485527992248535,0,0
1595611911.4346044,360.0,1.9861915111541748,0
1595611911.4346762,360,1.9861915111541748,1
1595611911.4346762,0,0,0
1595611911.44468,1.800684928894043,0,0
1595611911.4484537,2.4799489974975586,0,0
1595611911.4484537,360.0,1.986222505569458,0
1595611911.4485435,360,1.986222505569458,1
1595611911.4485435,0,0,0
1595611911.4585614,1.8032169342041016,0,0
1595611911.4635696,2.7046966552734375,0,0
1595611911.4635696,360.0,1.9849739074707031,0
1595611911.463657,360,1.9849739074707031,1
1595611911.463657,0,0,0
1595611911.4736738,1.8030452728271484,0,0
1595611911.4774473,2.482266426086426,0,0
1595611911.4774473,360.0,1.9862096309661865,0
1595611911.477535,360,1.9862096309661865,1
1595611911.477535,0,0,0
1595611911.487549,1.802530288696289,0,0
1595611911.4925764,2.7074432373046875,0,0
1595611911.4925764,360.0,1.9849586486816406,0
1595611911.492666,360,1.9849586486816406,1
1595611911.492666,0,0,0
1595611911.5026777,1.8021011352539062,0,0
1595611911.50645,2.481107711791992,0,0
1595611911.50645,360.0,1.9862160682678223,0
1595611911.5065377,360,1.9862160682678223,1
1595611911.5065377,0,0,0
1595611911.5165553,1.8031740188598633,0,0
1595611911.521577,2.707056999206543,0,0
1595611911.521577,360.0,1.9849607944488525,0
1595611911.5216649,360,1.9849607944488525,1
1595611911.5216649,0,0,0
1595611911.5316815,1.8030023574829102,0,0
1595611911.536723,2.710447311401367,0,0
1595611911.536723,360.0,1.9849419593811035,0
1595611911.537318,360,1.9849419593811035,1
1595611911.537318,0,0,0
1595611911.5473204,1.8004274368286133,0,0
1595611911.5506122,2.3929595947265625,0,0
1595611911.5506122,360.0,1.9867057800292969,0
1595611911.5506897,360,1.9867057800292969,1
1595611911.5506897,0,0,0
1595611911.5607028,1.802358627319336,0,0
1595611911.5657036,2.702507972717285,0,0
1595611911.5657036,360.0,1.9849860668182373,0
1595611911.565793,360,1.9849860668182373,1
1595611911.565793,0,0,0
1595611911.5758083,1.8027448654174805,0,0
1595611911.5808182,2.7045249938964844,0,0
1595611911.5808182,360.0,1.9849748611450195,0
1595611911.580905,360,1.9849748611450195,1
1595611911.580905,0,0,0
1595611911.5909185,1.8024444580078125,0,0
1595611911.5947273,2.4880170822143555,0,0
1595611911.5947273,360.0,1.986177682876587,0
1595611911.5947988,360,1.986177682876587,1
1595611911.5947988,0,0,0
1595611911.6048028,1.8007278442382812,0,0
1595611911.6085722,2.479219436645508,0,0
1595611911.6085722,360.0,1.9862265586853027,0
1595611911.608661,360,1.9862265586853027,1
1595611911.608661,0,0,0
1595611911.6186655,1.8008136749267578,0,0
1595611911.6224504,2.4820947647094727,0,0
1595611911.6224504,360.0,1.986210584640503,0
1595611911.6225383,360,1.986210584640503,1
1595611911.6225383,0,0,0
1595611911.6325448,1.801156997680664,0,0
1595611911.6375701,2.7057266235351562,0,0
1595611911.6375701,360.0,1.9849681854248047,0
1595611911.6376584,360,1.9849681854248047,1
1595611911.6376584,0,0,0
1595611911.6476648,1.801156997680664,0,0
1595611911.651448,2.482137680053711,0,0
1595611911.651448,360.0,1.9862103462219238,0
1595611911.6515355,360,1.9862103462219238,1
1595611911.6515355,0,0,0
1595611911.6615493,1.8024873733520508,0,0
1595611911.6653523,2.487030029296875,0,0
1595611911.6653523,360.0,1.9861831665039062,0
1595611911.665447,360,1.9861831665039062,1
1595611911.665447,0,0,0
1595611911.6754513,1.8007707595825195,0,0
1595611911.6804523,2.700963020324707,0,0
1595611911.6804523,360.0,1.984994649887085,0
1595611911.6805406,360,1.984994649887085,1
1595611911.6805406,0,0,0
1595611911.69055,1.8017148971557617,0,0
1595611911.6943197,2.4802494049072266,0,0
1595611911.6943197,360.0,1.9862208366394043,0
1595611911.6944077,360,1.9862208366394043,1
1595611911.6944077,0,0,0
1595611911.7044258,1.8032598495483398,0,0
1595611911.7094429,2.706327438354492,0,0
1595611911.7094429,360.0,1.9849648475646973,0
1595611911.709531,360,1.9849648475646973,1
1595611911.709531,0,0,0
1595611911.7195346,1.8006420135498047,0,0
1595611911.7245736,2.707657814025879,0,0
1595611911.7245736,360.0,1.9849574565887451,0
1595611911.7246609,360,1.9849574565887451,1
1595611911.7246609,0,0,0
1595611911.7346747,1.8024873733520508,0,0
1595611911.7384484,2.4817514419555664,0,0
1595611911.7384484,360.0,1.9862124919891357,0
1595611911.7385385,360,1.9862124919891357,1
1595611911.7385385,0,0,0
1595611911.7485409,1.8004274368286133,0,0
1595611911.753573,2.7061986923217773,0,0
1595611911.753573,360.0,1.9849655628204346,0
1595611911.7536616,360,1.9849655628204346,1
1595611911.7536616,0,0,0
