Timestamp,Phase,Angle,Ping?
1595271533.101433,263.176557538151,0,0
1595271533.239176,0.0,0,1
1595271533.3014562,22.42086410522461,0,0
1595271533.5014784,94.42886352539062,0,0
1595271533.7014906,166.43325805664062,0,0
1595271533.9014935,238.43430519104004,0,0
1595271534.101513,310.44127464294434,0,0
1595271534.1736338,0.0,0,1
1595271534.3015258,46.0411262512207,0,0
1595271534.5015352,118.04449081420898,0,0
1595271534.7015457,190.04828453063965,0,0
1595271534.9015677,262.0561981201172,0,0
1595271535.1015851,334.0624809265137,0,0
1595271535.1409297,0.0,0,1
1595271535.3015888,57.83726692199707,0,0
1595271535.501592,129.83839988708496,0,0
1595271535.7015927,201.8386745452881,0,0
1595271535.9015994,273.8410949707031,0,0
1595271536.1016157,345.8469486236572,0,0
1595271536.1246142,0.0,0,1
1595271536.3016398,63.72920036315918,0,0
1595271536.5016644,135.73805809020996,0,0
1595271536.7016892,207.74700164794922,0,0
1595271536.9016926,279.7482204437256,0,0
1595271537.101695,351.74909591674805,0,0
1595271537.116528,0.0,0,1
1595271537.3017135,66.66675567626953,0,0
1595271537.5017326,138.67363929748535,0,0
1595271537.7017345,210.67434310913086,0,0
1595271537.9017599,282.68345832824707,0,0
1595271538.1017714,354.68759536743164,0,0
1595271538.112559,0.0,0,1
1595271538.301776,68.11806678771973,0,0
1595271538.5017867,140.12194633483887,0,0
1595271538.7018003,212.12685585021973,0,0
1595271538.9018035,284.1279888153076,0,0
1595271539.1018114,356.13083839416504,0,0
1595271539.1099951,0.0,0,1
1595271539.3018255,69.0589427947998,0,0
1595271539.5018306,141.0607624053955,0,0
1595271539.701853,213.06884765625,0,0
1595271539.9018679,285.07418632507324,0,0
1595271540.101878,357.07780838012695,0,0
1595271540.1087782,0.0,0,1
1595271540.301887,69.51916694641113,0,0
1595271540.5018933,141.52141571044922,0,0
1595271540.7019012,213.52426528930664,0,0
1595271540.9019198,285.5309772491455,0,0
1595271541.1019337,357.53597259521484,0,0
1595271541.108216,0.0,0,1
1595271541.3019426,69.7415542602539,0,0
1595271541.5019698,141.75135612487793,0,0
1595271541.701985,213.75678062438965,0,0
1595271541.901998,285.76151847839355,0,0
1595271542.1020136,357.7671146392822,0,0
1595271542.1079776,0.0,0,1
1595271542.3020236,69.8565673828125,0,0
1595271542.5020251,141.85709953308105,0,0
1595271542.7020345,213.86046409606934,0,0
1595271542.9020526,285.86700439453125,0,0
1595271543.1020772,357.87586212158203,0,0
1595271543.108018,0.0,0,1
1595271543.3021016,69.8701286315918,0,0
1595271543.5021112,141.87357902526855,0,0
1595271543.7021298,213.88029098510742,0,0
1595271543.902148,285.88683128356934,0,0
1595271544.1021657,357.8931999206543,0,0
1595271544.108115,0.0,0,1
1595271544.3021927,69.86798286437988,0,0
1595271544.5022023,141.87143325805664,0,0
1595271544.7022288,213.88097763061523,0,0
1595271544.9022307,285.88168144226074,0,0
1595271545.1022577,357.8913974761963,0,0
1595271545.108233,0.0,0,1
1595271545.3022761,69.85553741455078,0,0
1595271545.5023012,141.86456680297852,0,0
1595271545.702302,213.86484146118164,0,0
1595271545.9023173,285.87035179138184,0,0
1595271546.1023223,357.87217140197754,0,0
1595271546.108375,0.0,0,1
1595271546.3023343,69.82532501220703,0,0
1595271546.5023434,141.82860374450684,0,0
1595271546.7023618,213.83522987365723,0,0
1595271546.9023619,285.8352470397949,0,0
1595271547.1023767,357.84058570861816,0,0
1595271547.1084723,0.0,0,1
1595271547.3023877,69.80953216552734,0,0
1595271547.5023997,141.81384086608887,0,0
1595271547.7024145,213.8191795349121,0,0
1595271547.9024198,285.8210849761963,0,0
1595271548.102437,357.8272819519043,0,0
1595271548.1085892,0.0,0,1
1595271548.3024528,69.79090690612793,0,0
1595271548.5024564,141.79221153259277,0,0
1595271548.7024734,213.7983226776123,0,0
1595271548.9024768,285.7995414733887,0,0
1595271549.1024983,357.80728340148926,0,0
1595271549.1087008,0.0,0,1
1595271549.302521,69.7752857208252,0,0
1595271549.5025299,141.77847862243652,0,0
1595271549.702537,213.78107070922852,0,0
1595271549.9025564,285.7880401611328,0,0
1595271550.102581,357.7968978881836,0,0
1595271550.1080766,0.0,0,1
1595271550.3025904,70.02496719360352,0,0
1595271550.5026162,142.03425407409668,0,0
1595271550.7026427,214.04379844665527,0,0
1595271550.9026637,286.0513687133789,0,0
1595271551.1026776,358.05636405944824,0,0
1595271551.1078367,0.0,0,1
1595271551.3027024,70.15165328979492,0,0
1595271551.5027056,142.1527862548828,0,0
1595271551.7027237,214.15932655334473,0,0
1595271551.9027271,286.1605453491211,0,0
1595271552.1027398,358.16511154174805,0,0
1595271552.1077964,0.0,0,1
1595271552.3027527,70.18426895141602,0,0
1595271552.502777,142.19304084777832,0,0
1595271552.702803,214.20232772827148,0,0
1595271552.9028127,286.2058639526367,0,0
1595271553.1028128,358.2058811187744,0,0
1595271553.1079335,0.0,0,1
1595271553.3028345,70.16435623168945,0,0
1595271553.5028486,142.16943740844727,0,0
1595271553.7028549,214.17168617248535,0,0
1595271553.902877,286.17968559265137,0,0
1595271554.1029036,358.18922996520996,0,0
1595271554.1080346,0.0,0,1
1595271554.3029115,70.15568733215332,0,0
1595271554.5029287,142.16188430786133,0,0
1595271554.7029488,214.16911125183105,0,0
1595271554.9029636,286.1744499206543,0,0
1595271555.1029844,358.18193435668945,0,0
1595271555.108154,0.0,0,1
1595271555.3029914,70.14143943786621,0,0
1595271555.5030026,142.1454906463623,0,0
1595271555.7030282,214.154691696167,0,0
1595271555.9030526,286.1634635925293,0,0
1595271556.1030695,358.1695747375488,0,0
1595271556.1082666,0.0,0,1
1595271556.303095,70.13826370239258,0,0
1595271556.5030992,142.13973999023438,0,0
1595271556.7031007,214.14027214050293,0,0
1595271556.9031162,286.1458683013916,0,0
1595271557.103125,358.14906120300293,0,0
1595271557.1083663,0.0,0,1
1595271557.3031397,70.11843681335449,0,0
1595271557.5031588,142.1253204345703,0,0
1595271557.703176,214.13151741027832,0,0
1595271557.9031928,286.1375427246094,0,0
1595271558.103196,358.13867568969727,0,0
1595271558.1084912,0.0,0,1
1595271558.3032014,70.0956916809082,0,0
1595271558.50322,142.10240364074707,0,0
1595271558.7032423,214.1104030609131,0,0
1595271558.9032598,286.11668586730957,0,0
1595271559.1032746,358.1220245361328,0,0
1595271559.1086054,0.0,0,1
1595271559.3032749,70.08101463317871,0,0
1595271559.5032885,142.08592414855957,0,0
1595271559.7033103,214.09375190734863,0,0
1595271559.903317,286.0961723327637,0,0
1595271560.1033278,358.1000518798828,0,0
1595271560.1087227,0.0,0,1
1595271560.3033304,70.05878448486328,0,0
1595271560.50335,142.06583976745605,0,0
1595271560.7033577,214.068603515625,0,0
1595271560.903361,286.06982231140137,0,0
1595271561.103366,358.0715560913086,0,0
1595271561.1088343,0.0,0,1
1595271561.3033676,70.0320053100586,0,0
1595271561.5033863,142.03871726989746,0,0
1595271561.703394,214.0414810180664,0,0
1595271561.903397,286.0426139831543,0,0
1595271562.1034212,358.0513000488281,0,0
1595271562.1089995,0.0,0,1
1595271562.3034422,69.9993896484375,0,0
1595271562.5034509,142.00249671936035,0,0
1595271562.7034698,214.0092945098877,0,0
1595271562.9034922,286.0173797607422,0,0
1595271563.103496,358.0187702178955,0,0
1595271563.1090803,0.0,0,1
1595271563.3035066,69.99346733093262,0,0
1595271563.5035245,141.99992179870605,0,0
1595271563.703546,214.00766372680664,0,0
1595271563.9035728,286.0172939300537,0,0
1595271564.103574,358.0177402496338,0,0
1595271564.1084528,0.0,0,1
1595271564.3035958,70.25147438049316,0,0
1595271564.5036006,142.2532081604004,0,0
1595271564.7036102,214.25665855407715,0,0
1595271564.9036198,286.2601089477539,0,0
1595271565.103621,358.260555267334,0,0
1595271565.108455,0.0,0,1
1595271565.3036351,70.26486396789551,0,0
1595271565.5036452,142.26848602294922,0,0
1595271565.7036514,214.2707347869873,0,0
1595271565.9036624,286.2747001647949,0,0
1595271566.1036844,358.28261375427246,0,0
1595271566.1084812,0.0,0,1
1595271566.3037014,70.27928352355957,0,0
1595271566.5037155,142.28436470031738,0,0
1595271566.7037265,214.288330078125,0,0
1595271566.9037526,286.29770278930664,0,0
1595271567.1037686,358.30347061157227,0,0
1595271567.1084876,0.0,0,1
1595271567.303779,70.30486106872559,0,0
1595271567.5037847,142.30693817138672,0,0
1595271567.703794,214.310302734375,0,0
1595271567.903806,286.3146114349365,0,0
1595271568.1038136,358.31737518310547,0,0
1595271568.1083848,0.0,0,1
1595271568.3038237,70.35799026489258,0,0
1595271568.5038402,142.36392974853516,0,0
1595271568.7038405,214.36403274536133,0,0
1595271568.9038558,286.3695430755615,0,0
1595271569.1038792,358.3779716491699,0,0
1595271569.1085055,0.0,0,1
1595271569.303883,70.3359317779541,0,0
1595271569.5038853,142.3367214202881,0,0
1595271569.7039046,214.34369087219238,0,0
1595271569.9039118,286.3462829589844,0,0
1595271570.1039264,358.35153579711914,0,0
1595271570.1086183,0.0,0,1
1595271570.303935,70.31404495239258,0,0
1595271570.503948,142.318696975708,0,0
1595271570.7039611,214.3234348297119,0,0
1595271570.903988,286.333065032959,0,0
1595271571.103992,358.3345413208008,0,0
1595271571.1087325,0.0,0,1
1595271571.3040009,70.29662132263184,0,0
1595271571.5040267,142.305908203125,0,0
1595271571.7040539,214.31571006774902,0,0
1595271571.9040737,286.3228511810303,0,0
1595271572.1040924,358.32956314086914,0,0
1595271572.1088436,0.0,0,1
1595271572.3040943,70.29026985168457,0,0
1595271572.5041196,142.29938507080078,0,0
1595271572.7041368,214.3055820465088,0,0
1595271572.9041393,286.30645751953125,0,0
1595271573.1041589,358.313512802124,0,0
1595271573.1089692,0.0,0,1
1595271573.304196,70.28160095214844,0,0
1595271573.5042083,142.2860813140869,0,0
1595271573.7042105,214.2868709564209,0,0
1595271573.9042337,286.2952136993408,0,0
1595271574.1042342,358.29540252685547,0,0
1595271574.1083264,0.0,0,1
1595271574.3042417,70.52947998046875,0,0
1595271574.504267,142.53859519958496,0,0
1595271574.70428,214.5432472229004,0,0
1595271574.9042933,286.5480709075928,0,0
1595271575.1043012,358.5509204864502,0,0
1595271575.1080775,0.0,0,1
1595271575.3043234,70.64852714538574,0,0
1595271575.504325,142.6490592956543,0,0
1595271575.704333,214.6519947052002,0,0
1595271575.9043415,286.65501594543457,0,0
1595271576.104353,358.65915298461914,0,0
1595271576.108064,0.0,0,1
1595271576.3043623,70.66740989685059,0,0
1595271576.5043814,142.6742935180664,0,0
1595271576.704391,214.67774391174316,0,0
1595271576.9043987,286.6805076599121,0,0
1595271577.10441,358.6845588684082,0,0
1595271577.1081529,0.0,0,1
1595271577.3044155,70.6545352935791,0,0
1595271577.504427,142.65867233276367,0,0
1595271577.70444,214.66341018676758,0,0
1595271577.9044635,286.671838760376,0,0
1595271578.104485,358.67958068847656,0,0
1595271578.1082847,0.0,0,1
1595271578.3044882,70.63324928283691,0,0
1595271578.5045094,142.64090538024902,0,0
1595271578.7045162,214.64332580566406,0,0
1595271578.9045208,286.6449737548828,0,0
1595271579.1045353,358.6502265930176,0,0
1595271579.1084132,0.0,0,1
