Timestamp,Phase,Heading,Ping?
1595875264.232127,121.46994336424841,9.866788228140015,0
1595875264.2421188,123.26848252593054,9.866788228140015,0
1595875264.2521167,125.06809457121862,9.866788228140015,0
1595875264.262117,126.86813576994909,9.866788228140015,0
1595875264.2721162,128.66800530730262,9.866788228140015,0
1595875264.282113,130.46744569121375,9.866788228140015,0
1595875264.2921145,132.26770146666541,9.866788228140015,0
1595875264.3021266,134.0698884326078,9.866788228140015,0
1595875264.3121264,135.8698438006498,9.866788228140015,0
1595875264.3221252,137.66962750731483,9.866788228140015,0
1595875264.332128,139.47014077483192,9.866788228140015,0
1595875264.342114,141.2676070529081,9.866788228140015,0
1595875264.352126,143.06975110350623,9.866788228140015,0
1595875264.3621123,144.86730321227088,9.866788228140015,0
1595875264.3721092,146.66674359618202,9.866788228140015,0
1595875264.3821087,148.46665604887977,9.866788228140015,0
1595875264.3921096,150.26682599364295,9.866788228140015,0
1595875264.4021175,152.06824048338905,9.866788228140015,0
1595875264.412118,153.86832459746375,9.866788228140015,0
1595875264.4221265,155.66986783324256,9.866788228140015,0
1595875264.4321213,157.46892197905555,9.866788228140015,0
1595875264.4421158,159.2679332095243,9.866788228140015,0
1595875264.452117,161.06814606963172,9.866788228140015,0
1595875264.4621212,162.86891682921424,9.866788228140015,0
1595875264.4721117,164.66719849883094,9.866788228140015,0
1595875264.4821148,166.46775468169227,9.866788228140015,0
1595875264.4921086,168.2666371661283,9.866788228140015,0
1595875264.5021222,170.06908162413612,9.866788228140015,0
1595875264.512111,171.86706288634315,9.866788228140015,0
1595875264.5221155,173.6678765612699,9.866788228140015,0
1595875264.532122,175.46903355895057,9.866788228140015,0
1595875264.5421174,177.26821645079627,9.866788228140015,0
1595875264.5521255,179.0696738558866,9.866788228140015,0
1595875264.562125,180.86958630858436,9.866788228140015,0
1595875264.5721157,182.6679108935453,9.866788228140015,0
1595875264.5821135,184.46752293883338,9.866788228140015,0
1595875264.5921283,186.2701819735624,9.866788228140015,0
1595875264.6021101,188.0669186907865,9.866788228140015,0
1595875264.6121094,189.86678822814002,9.866788228140015,0
1595875264.6221132,191.66747315703407,9.866788228140015,0
1595875264.632127,193.46996053038612,9.866788228140015,0
1595875264.642125,195.2695725756742,9.866788228140015,0
1595875264.6521146,197.0677254992582,9.866788228140015,0
1595875264.6621118,198.86720879851356,9.866788228140015,0
1595875264.672127,200.66995366393104,9.866788228140015,0
1595875264.6821208,202.46883614836707,9.866788228140015,0
1595875264.6921208,204.2688344317533,9.866788228140015,0
1595875264.7021098,206.06685860930457,9.866788228140015,0
1595875264.7121084,207.86659940062538,9.866788228140015,0
1595875264.7221184,209.6684001284696,9.866788228140015,0
1595875264.7321222,211.46908505736366,9.866788228140015,0
1595875264.7421277,213.27007039366737,9.866788228140015,0
1595875264.7521129,215.06740792571082,9.866788228140015,0
1595875264.7621129,216.86740620909706,9.866788228140015,0
1595875264.7721207,218.66882069884315,9.866788228140015,0
1595875264.7821267,220.46989186583534,9.866788228140015,0
1595875264.7921202,222.26873143492713,9.866788228140015,0
1595875264.8021142,224.0676568347074,9.866788228140015,0
1595875264.8121104,225.86696847258582,9.866788228140015,0
1595875264.8221276,227.6700566607572,9.866788228140015,0
1595875264.8321283,229.47018369017616,9.866788228140015,0
1595875264.8421113,231.26713498412147,9.866788228140015,0
1595875264.8521218,233.06902154265418,9.866788228140015,0
1595875264.8621182,234.86837609587684,9.866788228140015,0
1595875264.8721285,236.67021973906532,9.866788228140015,0
1595875264.88211,238.4669135409452,9.866788228140015,0
1595875264.8921163,240.26802762328163,9.866788228140015,0
1595875264.902111,242.0670817690946,9.866788228140015,0
1595875264.9121256,243.86969788847938,9.866788228140015,0
1595875264.922128,245.670125325308,9.866788228140015,0
1595875264.9321158,247.46793492613807,9.866788228140015,0
1595875264.9421093,249.26677449522987,9.866788228140015,0
1595875264.952123,251.06921895323768,9.866788228140015,0
1595875264.9621258,252.86973222075477,9.866788228140015,0
1595875264.9721167,254.66809972105995,9.866788228140015,0
1595875264.982113,256.46741135893836,9.866788228140015,0
1595875264.9921126,258.26736672698036,9.866788228140015,0
1595875265.0021267,260.06989701567664,9.866788228140015,0
1595875265.0121262,261.8698094683744,9.866788228140015,0
1595875265.0221236,263.669335682974,9.866788228140015,0
1595875265.0321202,265.4687331515409,9.866788228140015,0
1595875265.0421283,267.27019055663123,9.866788228140015,0
1595875265.052112,269.06727059660926,9.866788228140015,0
1595875265.0621197,270.8686421710111,9.866788228140015,0
1595875265.0721152,272.6678250628568,9.866788228140015,0
1595875265.0821264,274.46984036742225,9.866788228140015,0
1595875265.0921187,276.26846535979286,9.866788228140015,0
1595875265.1021254,278.06966527281776,9.866788228140015,0
