Type = DelayAdvance,Function = Wang Sync Simple,Refract = 0.05,Coupling Strength = 0.7,Start_phase = 301
Timestamp,Phase,Offset,Ping?
1596169085,301,0,0
1596169085.01,302.79665088653564,1.6722222222222223,0,42
1596169085.02,304.5993957519531,1.6722222222222223,0,42
1596169085.03,306.3974199295044,1.6722222222222223,0,42
1596169085.04,308.19720363616943,1.6722222222222223,0,42
1596169085.05,309.9966011047363,1.6722222222222223,0,42
1596169085.06,311.79883098602295,1.6722222222222223,0,42
1596169085.07,313.59754180908203,1.6722222222222223,0,42
1596169085.08,315.39741134643555,1.6722222222222223,0,42
1596169085.09,317.1983108520508,1.6722222222222223,0,42
1596169085.1,318.9980516433716,1.6722222222222223,0,42
1596169085.11,320.7981357574463,1.6722222222222223,0,42
1596169085.12,322.5965461730957,1.6722222222222223,0,42
1596169085.1299999,324.3974027633667,1.6722222222222223,0,42
1596169085.1399999,326.19765853881836,1.6722222222222223,0,42
1596169085.1499999,327.99817180633545,1.6722222222222223,0,42
1596169085.1599998,329.79748344421387,1.6722222222222223,0,42
1596169085.1699998,331.597825050354,1.6722222222222223,0,42
1596169085.1799998,333.3979091644287,1.6722222222222223,0,42
1596169085.1899998,335.1970920562744,1.6722222222222223,0,42
1596169085.1984336,336.71402072906494,1.6722222222222223,0
1596169085.1984336,353.0142062187195,1.7627788082758586,0
1596169085.1999998,353.2962887763977,1.7627788082758586,0,42
1596169085.2099998,355.0977032661438,1.7627788082758586,0,42
1596169085.2199998,356.8983452796936,1.7627788082758586,0,42
1596169085.2299998,358.69765691757203,1.7627788082758586,0,42
1596169085.2372556,360,1.7627788082758586,1
1596169085.2372556,0,0,0
1596169085.2472556,1.8001270294189453,0,0,42
1596169085.2572556,3.6016273498535156,0,0,42
1596169085.2672555,5.402441024780273,0,0,42
1596169085.2772555,7.2015380859375,0,0,42
1596169085.2872555,9.002909660339355,0,0,42
1596169085.2972555,10.800890922546387,0,0,42
1596169085.3072555,12.602777481079102,0,0,42
1596169085.3172555,14.40333366394043,0,0,42
1596169085.3272555,16.20230197906494,0,0,42
1596169085.3372555,18.001527786254883,0,0,42
1596169085.3472555,19.801225662231445,0,0,42
1596169085.3572555,21.600451469421387,0,0,42
1596169085.3672554,23.402080535888672,0,0,42
1596169085.3772554,25.202250480651855,0,0,42
1596169085.3872554,27.000703811645508,0,0,42
1596169085.3972554,28.802719116210938,0,0,42
1596169085.4072554,30.599970817565918,0,0,42
1596169085.4172554,32.40323066711426,0,0,42
1596169085.4272554,34.201040267944336,0,0,42
