Type = Mirollor Strogatz (-ish),Function = Peskin,Refract =0.05,Epsilon =0.05,Gamma =3,Start_phase =105
Timestamp,Phase,Offset,Ping?
1596177914,105,0,0
1596177914.0034204,105.61017036437988,0.5833333333333334,0
1596177914.0034204,121.89091315709415,0.6737819044039681,0
1596177914.01,123.077951578725,0.6737819044039681,0,42
1596177914.02,124.87546077214542,0.6737819044039681,0,42
1596177914.03,126.67786231480899,0.6737819044039681,0,42
1596177914.04,128.47764602147402,0.6737819044039681,0,42
1596177914.05,130.27652850591005,0.6737819044039681,0,42
1596177914.06,132.07566848241152,0.6737819044039681,0,42
1596177914.07,133.87824168645204,0.6737819044039681,0,42
1596177914.08,135.6759225412494,0.6737819044039681,0,42
1596177914.09,137.47540584050478,0.6737819044039681,0,42
1596177914.1,139.27827945195497,0.6737819044039681,0,42
1596177914.11,141.07707610570253,0.6737819044039681,0,42
1596177914.12,142.87849059544862,0.6737819044039681,0,42
1596177914.1299999,144.67634311162294,0.6737819044039681,0,42
1596177914.1399999,146.4778434320575,0.6737819044039681,0,42
1596177914.1499999,148.2783566995746,0.6737819044039681,0,42
1596177914.1599998,150.07861247502626,0.6737819044039681,0,42
1596177914.1699998,151.8761645837909,0.6737819044039681,0,42
1596177914.1799998,153.67783656560243,0.6737819044039681,0,42
1596177914.1899998,155.47667613469423,0.6737819044039681,0,42
1596177914.1999998,157.2779618784076,0.6737819044039681,0,42
1596177914.2099998,159.07594314061464,0.6737819044039681,0,42
1596177914.2199998,160.87632766209902,0.6737819044039681,0,42
1596177914.2299998,162.67679801427187,0.6737819044039681,0,42
1596177914.2399998,164.47731128178896,0.6737819044039681,0,42
1596177914.2499998,166.27602210484804,0.6737819044039681,0,42
1596177914.2599998,168.07765117131532,0.6737819044039681,0,42
1596177914.2699997,169.8781644388324,0.6737819044039681,0,42
1596177914.2799997,171.6768752618915,0.6737819044039681,0,42
1596177914.2899997,173.47545733891786,0.6737819044039681,0,42
1596177914.2999997,175.2778159662372,0.6737819044039681,0,42
1596177914.3099997,177.0767842813617,0.6737819044039681,0,42
1596177914.3199997,178.87802710973085,0.6737819044039681,0,42
1596177914.3299997,180.6763516946918,0.6737819044039681,0,42
1596177914.3399997,182.47527709447206,0.6737819044039681,0,42
1596177914.3499997,184.27536120854677,0.6737819044039681,0,42
1596177914.3599997,186.07819190465273,0.6737819044039681,0,42
1596177914.3699996,187.87673106633486,0.6737819044039681,0,42
1596177914.3799996,189.67793097935976,0.6737819044039681,0,42
1596177914.3899996,191.47668471776308,0.6737819044039681,0,42
1596177914.3999996,193.27672591649355,0.6737819044039681,0,42
1596177914.4099996,195.07766833745302,0.6737819044039681,0,42
1596177914.4199996,196.87663665257753,0.6737819044039681,0,42
1596177914.4299996,198.67865195714296,0.6737819044039681,0,42
1596177914.4399996,200.47628989659609,0.6737819044039681,0,42
1596177914.4499996,202.27611651860536,0.6737819044039681,0,42
1596177914.4599996,204.07547107182802,0.6737819044039681,0,42
1596177914.4699996,205.87860217534364,0.6737819044039681,0,42
1596177914.4799995,207.67782798253359,0.6737819044039681,0,42
1596177914.4899995,209.476238398183,0.6737819044039681,0,42
1596177914.4999995,211.27846827946962,0.6737819044039681,0,42
1596177914.5099995,213.0764066263324,0.6737819044039681,0,42
1596177914.5199995,214.87790694676698,0.6737819044039681,0,42
1596177914.5299995,216.67734733067812,0.6737819044039681,0,42
1596177914.5399995,218.47725978337587,0.6737819044039681,0,42
1596177914.5499995,220.27807345830263,0.6737819044039681,0,42
1596177914.5599995,222.07815757237734,0.6737819044039681,0,42
1596177914.5699995,223.8756238504535,0.6737819044039681,0,42
1596177914.5799994,225.67562213383974,0.6737819044039681,0,42
1596177914.5899994,227.47832408391298,0.6737819044039681,0,42
1596177914.5999994,229.27827945195497,0.6737819044039681,0,42
1596177914.6099994,231.07844939671816,0.6737819044039681,0,42
1596177914.6199994,232.87724605046571,0.6737819044039681,0,42
1596177914.6299994,234.67625728093446,0.6737819044039681,0,42
1596177914.6399994,236.47565474950136,0.6737819044039681,0,42
1596177914.6499994,238.27749839268984,0.6737819044039681,0,42
1596177914.6599994,240.07758250676454,0.6737819044039681,0,42
1596177914.6699994,241.87800994359316,0.6737819044039681,0,42
1596177914.6799994,243.67517581425966,0.6737819044039681,0,42
1596177914.6899993,245.47744861089052,0.6737819044039681,0,42
1596177914.6999993,247.2754727884418,0.6737819044039681,0,42
1596177914.7099993,249.07787433110536,0.6737819044039681,0,42
1596177914.7199993,250.87559810124696,0.6737819044039681,0,42
1596177914.7299993,252.67645469151796,0.6737819044039681,0,42
1596177914.7399993,254.4770108743793,0.6737819044039681,0,42
1596177914.7499993,256.2765370889789,0.6737819044039681,0,42
1596177914.7599993,258.0764066263324,0.6737819044039681,0,42
1596177914.7699993,259.87597575627626,0.6737819044039681,0,42
1596177914.7799993,261.6774331613666,0.6737819044039681,0,42
1596177914.7899992,263.47846141301454,0.6737819044039681,0,42
1596177914.7999992,265.2784596964008,0.6737819044039681,0,42
1596177914.8099992,267.0765267892963,0.6737819044039681,0,42
1596177914.8199992,268.8759242578632,0.6737819044039681,0,42
1596177914.8299992,270.67665210210146,0.6737819044039681,0,42
1596177914.8399992,272.475448755849,0.6737819044039681,0,42
1596177914.8499992,274.277206568349,0.6737819044039681,0,42
1596177914.8599992,276.0764752908832,0.6737819044039681,0,42
1596177914.8699992,277.87625899754823,0.6737819044039681,0,42
1596177914.8799992,279.6772872491962,0.6737819044039681,0,42
1596177914.8899992,281.4751397653705,0.6737819044039681,0,42
