Type = Mirollor Strogatz (-ish),Function = Peskin,Refract =0.05,Epsilon =0.05,Gamma =3,Start_phase =135
Timestamp,Phase,Offset,Ping?
1596178089,135,0,0
1596178089.01,136.79429054260254,0.75,0,42
1596178089.02,138.59574794769287,0.75,0,42
1596178089.03,140.39673328399658,0.75,0,42
1596178089.04,142.19462871551514,0.75,0,42
1596178089.05,143.99458408355713,0.75,0,42
1596178089.06,145.7940673828125,0.75,0,42
1596178089.07,147.59646892547607,0.75,0,42
1596178089.08,149.39517974853516,0.75,0,42
1596178089.09,151.19556427001953,0.75,0,42
1596178089.1,152.9963779449463,0.75,0,42
1596178089.11,154.7950029373169,0.75,0,42
1596178089.12,156.59736156463623,0.75,0,42
1596178089.1299999,158.39731693267822,0.75,0,42
1596178089.1399999,160.19722938537598,0.75,0,42
1596178089.1499999,161.99426651000977,0.75,0,42
1596178089.1599998,163.79417896270752,0.75,0,42
1596178089.1699998,165.59718132019043,0.75,0,42
1596178089.1799998,167.39649295806885,0.75,0,42
1596178089.1899998,169.19666290283203,0.75,0,42
1596178089.1999998,170.99717617034912,0.75,0,42
1596178089.2099998,172.79605865478516,0.75,0,42
1596178089.2199998,174.59519863128662,0.75,0,42
1596178089.2299998,176.39631271362305,0.75,0,42
1596178089.2399998,178.19704055786133,0.75,0,42
1596178089.2499998,179.9950647354126,0.75,0,42
1596178089.2599998,181.79600715637207,0.75,0,42
1596178089.2699997,183.5973358154297,0.75,0,42
1596178089.2799997,185.3957462310791,0.75,0,42
1596178089.2899997,187.19733238220215,0.75,0,42
1596178089.2999997,188.9939832687378,0.75,0,42
1596178089.3099997,190.79449653625488,0.75,0,42
1596178089.3199997,192.5940227508545,0.75,0,42
1596178089.3299997,194.39698219299316,0.75,0,42
1596178089.3399997,196.1955213546753,0.75,0,42
1596178089.3499997,197.99543380737305,0.75,0,42
1596178089.3599997,199.79689121246338,0.75,0,42
1596178089.3699996,201.59448623657227,0.75,0,42
1596178089.3799996,203.39491367340088,0.75,0,42
1596178089.3899996,205.19667148590088,0.75,0,42
1596178089.3999996,206.9966697692871,0.75,0,42
1596178089.4099996,208.79619598388672,0.75,0,42
1596178089.4199996,210.59486389160156,0.75,0,42
1596178089.4299996,212.39584922790527,0.75,0,42
1596178089.4399996,214.19713497161865,0.75,0,42
1596178089.4499996,215.99395751953125,0.75,0,42
1596178089.4599996,217.7953290939331,0.75,0,42
1596178089.4699996,219.59537029266357,0.75,0,42
1596178089.4799995,221.3971710205078,0.75,0,42
1596178089.4899995,223.1942081451416,0.75,0,42
1596178089.4999995,224.99725341796875,0.75,0,42
1596178089.5099995,226.79476261138916,0.75,0,42
1596178089.5199995,228.59694957733154,0.75,0,42
1596178089.5299995,230.3939437866211,0.75,0,42
