Timestamp,Phase,Offset,Ping?
1595631089.0000973,59.940000000000005,0,0
1595631089.0101092,61.740041198730474,0.333,0
1595631089.0201237,63.54265731811524,0.333,0
1595631089.030109,65.33999485015869,0.333,0
1595631089.040125,67.14286846160888,0.333,0
1595631089.0501218,68.94230884552002,0.333,0
1595631089.0601184,70.74170631408691,0.333,0
1595631089.070115,72.5411037826538,0.333,0
1595631089.08011,74.34020084381103,0.333,0
1595631089.09012,76.14200157165527,0.333,0
1595631089.1001139,77.9408840560913,0.333,0
1595631089.1101167,79.7413973236084,0.333,0
1595631089.1201205,81.54208225250244,0.333,0
1595631089.1301107,83.3403210067749,0.333,0
1595631089.1401162,85.14130634307861,0.333,0
1595631089.150125,86.94289249420166,0.333,0
1595631089.160126,88.74306243896484,0.333,0
1595631089.170111,90.54035705566406,0.333,0
1595631089.1801143,92.34095615386963,0.333,0
1595631089.1901135,94.14082569122314,0.333,0
1595631089.2001162,95.941296043396,0.333,0
1595631089.2101207,97.74210971832275,0.333,0
1595631089.220124,99.54270881652832,0.333,0
1595631089.2301195,101.34189170837402,0.333,0
1595631089.2401266,103.1431774520874,0.333,0
1595631089.2501187,104.94175952911377,0.333,0
1595631089.260114,106.74089950561523,0.333,0
1595631089.2701087,108.53995365142822,0.333,0
1595631089.2801237,110.34265560150146,0.333,0
1595631089.2901092,112.14003604888916,0.333,0
1595631089.3001137,113.94084972381592,0.333,0
1595631089.3101091,115.74003261566162,0.333,0
1595631089.3201194,117.5418762588501,0.333,0
1595631089.3301108,119.34032958984375,0.333,0
1595631089.340126,121.14307445526123,0.333,0
1595631089.3477635,122.51782459259033,0.333,0
1595631089.3477635,122.51782459259033,0.333,0
1595631089.3501205,122.94208568572998,0.333,0
1595631089.3601248,124.7428564453125,0.333,0
1595631089.3701212,126.54221099853515,0.333,0
1595631089.380121,128.34216636657715,0.333,0
1595631089.3901181,130.14164966583252,0.333,0
1595631089.400115,131.94109004974365,0.333,0
1595631089.4101126,133.7406591796875,0.333,0
1595631089.420126,135.54306072235107,0.333,0
1595631089.4301202,137.34202903747558,0.333,0
1595631089.440111,139.14035362243652,0.333,0
1595631089.4501112,140.940394821167,0.333,0
1595631089.4601147,142.7410368347168,0.333,0
1595631089.470119,144.5418075942993,0.333,0
1595631089.4801114,146.34043258666992,0.333,0
1595631089.4901268,148.14322036743164,0.333,0
1595631089.5001154,149.94115871429443,0.333,0
1595631089.51011,151.74016994476318,0.333,0
1595631089.5201244,153.54278606414795,0.333,0
1595631089.53012,155.34196895599365,0.333,0
1595631089.5401242,157.14273971557617,0.333,0
1595631089.5501149,158.9410643005371,0.333,0
1595631089.560125,160.74290794372558,0.333,0
1595631089.5701244,162.5427774810791,0.333,0
1595631089.5801146,164.34101623535156,0.333,0
1595631089.5901084,166.1398987197876,0.333,0
1595631089.600126,167.94307273864746,0.333,0
1595631089.6101236,169.7426418685913,0.333,0
1595631089.6201255,171.54298347473144,0.333,0
1595631089.6301248,173.34285301208496,0.333,0
1595631089.6401184,175.14169258117676,0.333,0
1595631089.6501083,176.93988842010498,0.333,0
1595631089.6601212,178.74220413208008,0.333,0
1595631089.6701105,180.54027122497558,0.333,0
1595631089.680126,182.3430590057373,0.333,0
1595631089.6901135,184.14082569122314,0.333,0
1595631089.7001228,185.94249767303467,0.333,0
1595631089.7101269,187.74322551727295,0.333,0
1595631089.720125,189.54288047790527,0.333,0
1595631089.7301145,191.34099048614502,0.333,0
1595631089.7401187,193.14176124572754,0.333,0
1595631089.7501223,194.94240325927734,0.333,0
1595631089.7601254,196.74295944213867,0.333,0
1595631089.7701242,198.5427431488037,0.333,0
1595631089.78011,200.34016651153564,0.333,0
1595631089.7901158,202.14123767852783,0.333,0
1595631089.8001218,203.94230884552002,0.333,0
1595631089.810117,205.74144882202148,0.333,0
1595631089.820116,207.54127544403076,0.333,0
1595631089.8301182,209.34165996551513,0.333,0
1595631089.8401265,211.1431602859497,0.333,0
1595631089.850122,212.9423431777954,0.333,0
1595631089.8601265,214.74315685272217,0.333,0
1595631089.870112,216.54053730010986,0.333,0
1595631089.88011,218.34019226074219,0.333,0
1595631089.8901083,220.13989013671875,0.333,0
1595631089.9001088,221.93997425079345,0.333,0
1595631089.910125,223.7428907775879,0.333,0
1595631089.9201124,225.5406145477295,0.333,0
1595631089.9301245,227.34280151367187,0.333,0
1595631089.940117,229.14142650604248,0.333,0
1595631089.9501095,230.94009441375732,0.333,0
1595631089.9601202,232.74202388763428,0.333,0
1595631089.970126,234.54305213928222,0.333,0
1595631089.9801192,236.34184879302978,0.333,0
1595631089.9901233,238.14257663726806,0.333,0
1595631090.0001225,239.94244617462158,0.333,0
1595631090.010112,241.74055618286133,0.333,0
1595631090.02012,243.54197067260742,0.333,0
1595631090.0301156,245.34119647979736,0.333,0
1595631090.0401175,247.1415380859375,0.333,0
1595631090.0501194,248.94187969207763,0.333,0
1595631090.0601254,250.74295085906982,0.333,0
1595631090.070113,252.54071754455566,0.333,0
1595631090.080126,254.343076171875,0.333,0
1595631090.0901253,256.1429457092285,0.333,0
1595631090.1001258,257.9430298233032,0.333,0
1595631090.1101263,259.7431139373779,0.333,0
1595631090.120117,261.54143852233886,0.333,0
1595631090.130124,263.34272426605224,0.333,0
1595631090.1401157,265.14122051239013,0.333,0
1595631090.1501186,266.9417337799072,0.333,0
1595631090.16012,268.7419895553589,0.333,0
1595631090.170123,270.5425457382202,0.333,0
1595631090.1801133,272.3407844924927,0.333,0
1595631090.1901217,274.14228481292724,0.333,0
1595631090.2001243,275.9427551651001,0.333,0
1595631090.210125,277.74288219451904,0.333,0
1595631090.2201111,279.54039138793945,0.333,0
1595631090.230114,281.34090465545654,0.333,0
1595631090.240123,283.1425337219238,0.333,0
1595631090.2501214,284.9422315979004,0.333,0
1595631090.2601242,286.7427448654175,0.333,0
1595631090.2701132,288.54076904296875,0.333,0
1595631090.2801254,290.34295600891113,0.333,0
1595631090.2901201,292.1420101547241,0.333,0
1595631090.300118,293.9416222000122,0.333,0
1595631090.3101227,295.7424787902832,0.333,0
1595631090.3201141,297.54093212127685,0.333,0
1595631090.330108,299.3398146057129,0.333,0
1595631090.3401253,301.1429457092285,0.333,0
1595631090.3501146,302.941012802124,0.333,0
1595631090.3601134,304.74079650878906,0.333,0
1595631090.3701134,306.5407947921753,0.333,0
1595631090.3801212,308.3422092819214,0.333,0
1595631090.390117,310.1414350891113,0.333,0
1595631090.4001086,311.9399313354492,0.333,0
1595631090.4101253,313.7429336929321,0.333,0
1595631090.4201245,315.54280323028564,0.333,0
1595631090.4301126,317.34065574645996,0.333,0
1595631090.4401176,319.1415552520752,0.333,0
1595631090.4501185,320.9417251968384,0.333,0
1595631090.4601178,322.7415947341919,0.333,0
1595631090.4701111,324.54039138793945,0.333,0
1595631090.4801223,326.3424066925049,0.333,0
1595631090.490116,328.1412462615967,0.333,0
1595631090.5001214,329.9422315979004,0.333,0
1595631090.5101175,331.7415432357788,0.333,0
1595631090.5201154,333.5411552810669,0.333,0
1595631090.530108,335.33982318878174,0.333,0
1595631090.5401213,337.1422247314453,0.333,0
1595631090.5501137,338.9408497238159,0.333,0
1595631090.560125,340.7429079437256,0.333,0
1595631090.5701237,342.5426487350464,0.333,0
1595631090.5801098,344.3401579284668,0.333,0
1595631090.5901074,346.13972705841064,0.333,0
1595631090.600117,347.9414419555664,0.333,0
1595631090.6101124,349.7406248474121,0.333,0
1595631090.6201096,351.5401081466675,0.333,0
1595631090.6301255,353.3429817581177,0.333,0
1595631090.6401076,355.13976139068603,0.333,0
1595631090.6501195,356.9419054412842,0.333,0
1595631090.6601236,358.74263328552246,0.333,0
1595631090.6671157,360,0.333,1
1595631090.6671157,0.1506988016032409,0.1506988016032409,0
1595631090.6771157,28.92578257196959,0.1506988016032409,0
1595631090.6871312,30.72857035273131,0.1506988016032409,0
1595631090.6971166,32.525950800119006,0.1506988016032409,0
1595631090.707129,34.32818068140563,0.1506988016032409,0
1595631090.717119,36.12637652033385,0.1506988016032409,0
1595631090.7271166,37.9259456502777,0.1506988016032409,0
1595631090.737116,39.72585810297545,0.1506988016032409,0
1595631090.7471254,41.527530084786974,0.1506988016032409,0
1595631090.7571206,43.32667006128844,0.1506988016032409,0
1595631090.767125,45.12744082087096,0.1506988016032409,0
1595631090.777127,46.927825342355334,0.1506988016032409,0
1595631090.7871194,48.72645033472594,0.1506988016032409,0
1595631090.7971244,50.527349840341174,0.1506988016032409,0
1595631090.8071315,52.32863558405455,0.1506988016032409,0
1595631090.817125,54.12747515314635,0.1506988016032409,0
1595631090.827123,55.927087198434435,0.1506988016032409,0
1595631090.8371317,57.72867334955748,0.1506988016032409,0
1595631090.8471212,59.52678335779723,0.1506988016032409,0
1595631090.8571255,61.32755411737975,0.1506988016032409,0
1595631090.867127,63.12780989283141,0.1506988016032409,0
1595631090.877118,64.92622030848082,0.1506988016032409,0
1595631090.887129,66.72819269770201,0.1506988016032409,0
1595631090.897121,68.52673185938414,0.1506988016032409,0
1595631090.9071298,70.32831801050719,0.1506988016032409,0
1595631090.9171188,72.12634218805846,0.1506988016032409,0
1595631090.927127,73.92779959314879,0.1506988016032409,0
1595631090.937118,75.7262100087982,0.1506988016032409,0
1595631090.9471264,77.52771032923278,0.1506988016032409,0
1595631090.957125,79.32745112055358,0.1506988016032409,0
1595631090.967132,81.12873686426695,0.1506988016032409,0
